type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T121013.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0GRCL02,OPTİMUM//SKY,6168,1,#C022RVV,SKY//TÜRK,16000003,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLJRYCV9,一线天,6196,0,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T120542.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0GRCL02,OPTİMUM//SKY,6138,1,#C022RVV,SKY//TÜRK,16000003,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8QUC0P,YT JS Gaming,6141,0,#9JYR0VYG,⚡️SD United⚡️,16000008,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191010T081724.000Z,,54000007,Arena 10,72000023,TeamVsTeamLadder,,collection,#L0GRCL02,OPTİMUM//SKY,6138,3,#C022RVV,SKY//TÜRK,16000003,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,#92PY289LY,Confidential,,3,#2LJ8JCUJ,COREA,16000126,Mirror,8,8,Balloon,8,8,Clone,8,8,Skeleton Army,7,8,Wizard,11,11,Inferno Dragon,4,5,Lumberjack,5,5,Bats,13,13,#92LQLYR0U,k9,4911,1,#JYUC9,BROTHERHOOD,16000164,Valkyrie,11,11,Goblin Gang,13,13,Tesla,13,13,Barbarian Barrel,8,8,Goblin Barrel,8,8,Princess,4,5,Ice Spirit,12,13,Rocket,10,11,#9LP2RQ9LL,Twoheadedpoppa,,1,#YL9VJULQ,Clashadians,16000029,Spear Goblins,12,13,Miner,3,5,Fire Spirits,13,13,Skeleton Army,6,8,Giant Skeleton,8,8,Zap,13,13,Giant Snowball,13,13,Knight,13,13
casual2v2,20191010T080753.000Z,,54000002,Arena 2,72000023,TeamVsTeamLadder,,collection,#L0GRCL02,OPTİMUM//SKY,6138,2,#C022RVV,SKY//TÜRK,16000003,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,#L9UC2VJR,ItalianStallion,,2,#P9RUU2,Galatasaray,16000039,Valkyrie,11,11,Musketeer,11,11,Bats,12,13,Goblin Gang,13,13,Giant Snowball,12,13,Hog Rider,11,11,Rocket,10,11,Tesla,12,13,#8JCC9U9UP,天气混乱,4898,1,#PYVQPRLC,北岛.斜阳之光,16000043,Witch,8,8,Bomber,13,13,Poison,8,8,Miner,4,5,Inferno Tower,11,11,Wizard,11,11,Goblin Barrel,7,8,Valkyrie,11,11,#9UQL8QLQ2,Tito,,1,#LP0PJR9,Flamengo,16000052,Barbarian Barrel,6,8,Fireball,11,11,Furnace,11,11,Baby Dragon,8,8,Mirror,7,8,Goblin Gang,13,13,Giant Skeleton,8,8,Clone,7,8
casual1v1,20191010T071331.000Z,,54000037,Legendary Arena,72000135,RampUpElixirSpawnWBsMode_Draft,,draft,#L0GRCL02,OPTİMUM//SKY,6138,3,#C022RVV,SKY//TÜRK,16000003,Bomber,9,13,Fire Spirits,9,13,Hunter,4,8,Arrows,9,13,Goblin Giant,4,8,Princess,1,5,Giant,7,11,Goblin Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCUC9UJ,castle black,5134,1,#82PPURGV,BrengiTitans,16000012,Elite Barbarians,9,13,Valkyrie,7,11,Electro Dragon,4,8,Skeleton Barrel,9,13,Zap,9,13,Tesla,9,13,Goblins,9,13,Guards,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191010T071113.000Z,,54000037,Legendary Arena,72000135,RampUpElixirSpawnWBsMode_Draft,,draft,#L0GRCL02,OPTİMUM//SKY,6138,2,#C022RVV,SKY//TÜRK,16000003,Fisherman,1,5,Royal Recruits,9,13,Fireball,7,11,Goblin Gang,9,13,Ice Wizard,1,5,Princess,1,5,Flying Machine,7,11,Royal Giant,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CPR0RLV,Sherman,5382,3,#JJUQV9,UK Adult,16000061,Skeleton Barrel,9,13,Wizard,7,11,Dart Goblin,7,11,Magic Archer,1,5,Fire Spirits,9,13,Lightning,4,8,Golem,4,8,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191010T070703.000Z,,54000037,Legendary Arena,72000135,RampUpElixirSpawnWBsMode_Draft,,draft,#L0GRCL02,OPTİMUM//SKY,6138,1,#C022RVV,SKY//TÜRK,16000003,Goblin Gang,9,13,Magic Archer,1,5,Royal Recruits,9,13,Earthquake,7,11,Zap,9,13,Zappies,7,11,Royal Giant,9,13,Fire Spirits,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82CQQC2U8,兽人永不为奴,5391,3,#2LPVL0RP,≮帝王觉醒≯,16000162,Bandit,1,5,Hog Rider,7,11,Witch,4,8,Poison,4,8,Lightning,4,8,Knight,9,13,Princess,1,5,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191010T070507.000Z,,54000037,Legendary Arena,72000135,RampUpElixirSpawnWBsMode_Draft,,draft,#L0GRCL02,OPTİMUM//SKY,6138,1,#C022RVV,SKY//TÜRK,16000003,Electro Wizard,1,5,X-Bow,4,8,Wizard,7,11,Battle Ram,7,11,Royal Giant,9,13,Hunter,4,8,The Log,1,5,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8908YCC,Yosoypaulito,5503,3,#9VVRR2Y8,ИΔUGHTY PΔИDΔ,16000138,Skeleton Army,4,8,Arrows,9,13,Baby Dragon,4,8,Miner,1,5,Goblin Barrel,4,8,Night Witch,1,5,Mortar,9,13,Princess,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T042600.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0GRCL02,OPTİMUM//SKY,6103,2,#C022RVV,SKY//TÜRK,16000003,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PC8G0P02,パコリズム,6166,1,#PQQJC889,狂爆電車俱樂部,16000159,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Minion Horde,13,13,Wizard,11,11,Elixir Collector,10,11,Rage,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T042042.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0GRCL02,OPTİMUM//SKY,6069,1,#C022RVV,SKY//TÜRK,16000003,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJLJ98U,DIG Blaze,6118,0,#2LRU2J,Crucible Wrath,16000002,Wall Breakers,8,8,Hunter,8,8,Mega Knight,5,5,Ice Spirit,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191009T234208.000Z,,54000005,Arena 5,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#L0GRCL02,OPTİMUM//SKY,6069,3,#C022RVV,SKY//TÜRK,16000003,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,#98Y8C0GYJ,ØŁĐ☠️HONOR,,3,#9QCGUP89,Push Corp.,16000112,Bandit,5,5,Goblin Barrel,8,8,Witch,8,8,Electro Wizard,5,5,Skeleton Army,6,8,P.E.K.K.A,8,8,Poison,8,8,Zap,13,13,#2Q0V22U9V,David J.K,5155,0,#9R9UUPY9,잎새 I기,16000170,Skeleton Army,8,8,Mirror,8,8,Magic Archer,5,5,Rage,7,8,Tornado,8,8,Fireball,11,11,Minion Horde,13,13,Prince,8,8,#8PJRRVLYJ,bradaframana...,,0,#2JJ0QJJP,La tintinerie,16000170,Rage,8,8,P.E.K.K.A,8,8,Witch,8,8,Wizard,11,11,The Log,5,5,Miner,5,5,Bats,13,13,Zap,13,13
casual2v2,20191009T233707.000Z,,54000008,Arena 7,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#L0GRCL02,OPTİMUM//SKY,6069,3,#C022RVV,SKY//TÜRK,16000003,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,#PPLR20R8,✨비전✨,,3,#2LVGGQ0Y,성인들의 모임,16000008,Ice Golem,11,11,Musketeer,11,11,Bats,13,13,Mini P.E.K.K.A,11,11,Earthquake,11,11,Giant Snowball,13,13,Ice Spirit,13,13,Hog Rider,11,11,#2Q0PY2P0,グマ,4779,0,#9UP2GJJJ,150キロパーティしようの会,16000166,Arrows,13,13,Zap,13,13,Fire Spirits,13,13,Rascals,13,13,Freeze,8,8,Knight,13,13,Balloon,8,8,Musketeer,11,11,#28YUJ0CQ2,Jesus,,0,#PJ2VY99,Baby Weed,16000171,Tesla,13,13,Barbarian Barrel,8,8,Ice Spirit,13,13,X-Bow,8,8,Archers,13,13,Mirror,8,8,Zap,13,13,Bandit,5,5
