type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T132105.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6188,1,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RRVCUUGQ,NR I Riku⚡️,6199,0,#PRYRLGJQ,Nexus Lance,16000043,Goblin Gang,13,13,The Log,5,5,Goblin Barrel,8,8,Princess,5,5,Rascals,13,13,Rocket,11,11,Dart Goblin,11,11,Cannon Cart,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T131706.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6167,1,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLC0GR,lapin,6061,0,#9JJRCUUY,PDF Origins,16000029,Giant Skeleton,8,8,Witch,8,8,Goblin Hut,11,11,Baby Dragon,8,8,Bats,13,13,Arrows,13,13,Graveyard,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T131156.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6135,1,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22C2C89RJ,Mute > Henry,6161,0,#Y08G90PY,Sinister™️,16000138,Giant,11,11,Mega Minion,11,11,Barbarians,13,13,Poison,8,8,Witch,8,8,Giant Snowball,13,13,Bats,13,13,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T130634.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6099,2,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUJC8QGP,⚡HardcoreGamer⚡,6178,1,#Y9GCCYR8,⭐WE'RE AUSTRIA⭐,16000039,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T130151.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6072,1,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80GU08VC,den1s,6038,0,#P8QU2CCG,Дружина,16000056,P.E.K.K.A,8,8,Graveyard,5,5,Electro Wizard,5,5,Barbarian Barrel,8,8,Baby Dragon,8,8,Poison,8,8,Furnace,11,11,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T125708.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6043,1,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89JPGQ9V,the best,6038,0,#8JJJPUPV,Ad Finem,16000145,Giant Skeleton,8,8,Tornado,7,8,Baby Dragon,8,8,Clone,7,8,Cannon Cart,8,8,Skeleton Barrel,13,13,Witch,8,8,Goblin Cage,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T125246.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6015,1,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PR8L9C2R,Saltani Jr.,6000,0,#P9JQV9JJ,•ＴＥＡＭ • ＯＭＥＧＡ•,16000145,Ice Golem,11,11,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Cannon,13,13,Ice Spirit,13,13,Skeletons,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T124807.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6048,0,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UQQCC0JC,繁星,6004,1,#9CU2PQ2J,不正经的养老院,16000131,Sparky,5,5,Hunter,8,8,Bats,13,13,Dark Prince,8,8,Fisherman,5,5,Goblin Giant,8,8,Poison,8,8,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T124403.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6080,0,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGL8VRGV,Leͥgeͣnͫdᴮᵃᵈ✌,6055,1,#PGCJ0GUG,MYBrotherhood®,16000169,Ice Golem,11,11,Goblin Cage,11,11,Royal Ghost,5,5,Battle Ram,11,11,Three Musketeers,11,11,Witch,8,8,Giant Snowball,13,13,Elixir Collector,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T123930.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L0VP8R8V,⭐️星辰⭐️,6113,0,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#209VUQ8JU,«:MD:»J.DREVER™,6075,3,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
