type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarCollectionDay,20191010T121139.000Z,,54000037,Legendary Arena,72000013,DraftModeInsane,,draft,#L2JCUPUY,B2B✨BrayanYT✨,6228,1,#2UC8VYCJ,Back2Basics,16000142,Baby Dragon,4,8,Goblins,9,13,Giant,7,11,Valkyrie,7,11,Ice Wizard,1,5,Ice Spirit,9,13,Barbarian Barrel,4,8,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J80ULRU,皇家马德里,5574,0,#2VCPJLVC,电竞女神❤勾勾小拇指,16000128,Dark Prince,4,8,The Log,1,5,Skeleton Army,4,8,Bomber,9,13,Lava Hound,1,5,Miner,1,5,Skeletons,9,13,Dart Goblin,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191010T120634.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#L2JCUPUY,B2B✨BrayanYT✨,6228,1,#2UC8VYCJ,Back2Basics,16000142,Prince,4,8,Goblin Gang,9,13,Goblin Barrel,4,8,Dart Goblin,7,11,Rascals,9,13,Princess,1,5,The Log,1,5,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88GY2GLQ,Enigma,5016,0,#8L9YUQ2,尚弋村,16000133,Golem,4,8,Lumberjack,1,5,Night Witch,1,5,Baby Dragon,4,8,Mega Minion,7,11,Zap,9,13,Tornado,4,8,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T033218.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L2JCUPUY,B2B✨BrayanYT✨,6199,1,#UCRQ229,#Quemasve,16000171,Mega Knight,5,5,Bats,13,13,Fisherman,3,5,Miner,5,5,Zap,13,13,Poison,8,8,Hunter,8,8,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6193,0,#P2LL8PUQ,Arab riSt✨❤️.,16000028,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T032534.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L2JCUPUY,B2B✨BrayanYT✨,6163,2,#UCRQ229,#Quemasve,16000171,Mega Knight,5,5,Bats,13,13,Fisherman,3,5,Miner,5,5,Zap,13,13,Poison,8,8,Hunter,8,8,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VC0JJ9,RHVR17,6242,1,#PJLJQPJC,@RHVR17,16000152,Princess,5,5,The Log,5,5,Rocket,11,11,Goblin Barrel,8,8,Inferno Tower,11,11,Knight,13,13,Goblin Gang,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T031806.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L2JCUPUY,B2B✨BrayanYT✨,6130,1,#UCRQ229,#Quemasve,16000171,Mega Knight,5,5,Bats,13,13,Fisherman,3,5,Miner,5,5,Zap,13,13,Poison,8,8,Hunter,8,8,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YGGYQYV,JuicyJ,6175,0,#2LVRQ29,Midwinter™,16000168,Wall Breakers,8,8,Miner,5,5,Poison,8,8,Giant Snowball,13,13,Bats,13,13,Mega Knight,5,5,Fisherman,5,5,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T031330.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L2JCUPUY,B2B✨BrayanYT✨,6107,1,#UCRQ229,#Quemasve,16000171,Mega Knight,5,5,Bats,13,13,Fisherman,3,5,Miner,5,5,Zap,13,13,Poison,8,8,Hunter,8,8,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYPCQ8,Michifu☆,6026,0,#Y8LCJJQU,sa.arabic,16000139,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T030808.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L2JCUPUY,B2B✨BrayanYT✨,6149,0,#UCRQ229,#Quemasve,16000171,Mega Knight,5,5,Bats,13,13,Fisherman,3,5,Miner,5,5,Zap,13,13,Poison,8,8,Hunter,8,8,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CGLRRPYL,<c4>Chuky Kush♿,6001,1,#YVPQV8V,CSL1,16000142,Mega Knight,5,5,Wall Breakers,8,8,Night Witch,5,5,Poison,8,8,Witch,8,8,Bandit,5,5,Miner,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T030115.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L2JCUPUY,B2B✨BrayanYT✨,6117,1,#UCRQ229,#Quemasve,16000171,Mega Knight,5,5,Bats,13,13,Fisherman,3,5,Miner,5,5,Zap,13,13,Poison,8,8,Hunter,8,8,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#282G0QUU9,Stif Master ☮,6143,0,#98Q208LY,Ñ-15 Stars,16000044,Zap,13,13,Spear Goblins,13,13,Knight,13,13,Barbarians,13,13,Musketeer,11,11,Fireball,11,11,Hog Rider,11,11,Goblin Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T025635.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L2JCUPUY,B2B✨BrayanYT✨,6149,0,#UCRQ229,#Quemasve,16000171,Mega Knight,5,5,Bats,13,13,Fisherman,3,5,Miner,5,5,Zap,13,13,Poison,8,8,Hunter,8,8,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPRU2YG,PoKéMoN,6116,1,#PVJ0PYQL,Bags Clan,16000162,P.E.K.K.A,8,8,Poison,8,8,Fisherman,4,5,Royal Ghost,5,5,Giant Snowball,13,13,Electro Wizard,5,5,Battle Ram,11,11,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T025032.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#L2JCUPUY,B2B✨BrayanYT✨,6122,1,#UCRQ229,#Quemasve,16000171,Mega Knight,5,5,Bats,13,13,Fisherman,3,5,Miner,5,5,Zap,13,13,Poison,8,8,Hunter,8,8,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LQVYVJP,R-V星星V的小号,6091,0,#9YGURQUL,Illuminati,16000032,Poison,8,8,Furnace,11,11,Graveyard,5,5,Cannon Cart,8,8,Musketeer,11,11,Baby Dragon,8,8,Tornado,8,8,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
