type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191010T130220.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,1,collection,#LLGPYL2G,Carl the Legend,6179,2,#PPCLCJG9,AK Syndicate,16000044,Baby Dragon,4,8,Lava Hound,1,5,Poison,4,8,Wall Breakers,4,8,Giant Snowball,9,13,Mega Minion,7,11,Goblin Cage,7,11,Guards,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28U9C8VL8,Sentakuu71,4999,1,#PJUYL2V8,O.o,16000060,Miner,1,5,Fireball,7,11,Baby Dragon,4,8,Guards,4,8,Inferno Dragon,1,5,Goblin Cage,7,11,Lava Hound,1,5,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T125748.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,0,collection,#LLGPYL2G,Carl the Legend,6179,3,#PPCLCJG9,AK Syndicate,16000044,Baby Dragon,4,8,Lava Hound,1,5,Poison,4,8,Wall Breakers,4,8,Giant Snowball,9,13,Mega Minion,7,11,Goblin Cage,7,11,Guards,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2820YUUUG,magnani,4738,0,#20VPU2CJ,> Team Piuka <,16000058,Hog Rider,7,11,Musketeer,7,11,Fireball,7,11,Cannon,9,13,Ice Spirit,9,13,The Log,1,5,Skeletons,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T125434.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,9,collection,#LLGPYL2G,Carl the Legend,6179,0,#PPCLCJG9,AK Syndicate,16000044,Inferno Dragon,1,5,Lava Hound,1,5,Poison,4,8,Wall Breakers,4,8,Giant Snowball,9,13,Mega Minion,7,11,Goblin Cage,7,11,Guards,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20GURGLJV,秋名山车神,6046,1,#8LQ2P0RL,龍溪CR,16000012,Poison,4,8,Mortar,9,13,Royal Hogs,7,11,Giant Snowball,9,13,Archers,9,13,Valkyrie,7,11,Witch,4,8,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T114930.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LLGPYL2G,Carl the Legend,6154,2,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,5,5,Balloon,8,8,Tombstone,11,11,Mega Minion,11,11,Minions,13,13,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L8L8LC,NS丨Prince旭,6102,1,#YYL2GJUC,女神的世界,16000111,Lumberjack,5,5,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Elixir Collector,11,11,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T114440.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LLGPYL2G,Carl the Legend,6178,0,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,5,5,Balloon,8,8,Tombstone,11,11,Mega Minion,11,11,Minions,13,13,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QQ92VGUL,TR⚡CARLOS⚡,6238,3,,,,Skeleton Army,8,8,Hog Rider,11,11,Zap,13,13,Electro Wizard,5,5,Sparky,5,5,Executioner,8,8,Mega Knight,5,5,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T113820.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LLGPYL2G,Carl the Legend,6148,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,5,5,Balloon,8,8,Tombstone,11,11,Mega Minion,11,11,Minions,13,13,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#282G0QUU9,Stif Master ☮,6155,0,#98Q208LY,Ñ-15 Stars,16000044,Zap,13,13,Spear Goblins,13,13,Knight,13,13,Barbarians,13,13,Musketeer,11,11,Fireball,11,11,Hog Rider,11,11,Goblin Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T113414.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LLGPYL2G,Carl the Legend,6192,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,5,5,Balloon,8,8,Tombstone,11,11,Mega Minion,11,11,Minions,13,13,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80VC2RJ0P,IzzyC,6005,3,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T112756.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LLGPYL2G,Carl the Legend,6155,2,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,5,5,Balloon,8,8,Tombstone,11,11,Mega Minion,11,11,Minions,13,13,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8QUC0P,YT JS Gaming,6239,1,#9JYR0VYG,⚡️SD United⚡️,16000008,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T112405.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LLGPYL2G,Carl the Legend,6125,2,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,5,5,Balloon,8,8,Tombstone,11,11,Mega Minion,11,11,Minions,13,13,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUJC8QGP,⚡HardcoreGamer⚡,6136,1,#Y9GCCYR8,⭐WE'RE AUSTRIA⭐,16000039,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T111848.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LLGPYL2G,Carl the Legend,6086,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,5,5,Balloon,8,8,Tombstone,11,11,Mega Minion,11,11,Minions,13,13,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GGUCV0U,<c2>0es3｜幻听,6198,0,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
