type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T044924.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LP0Q8LUQ,CrimsixRoyale,6206,1,#L2QQ8CRQ,CrimsixRoyale,16000159,Tornado,8,8,Witch,8,8,Goblin Barrel,8,8,Rascals,13,13,Goblin Gang,13,13,Valkyrie,11,11,The Log,5,5,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QC098JC9,JoseBrayan⚽️,6203,0,#PGRC2QQ8,SS Gaming,16000009,Sparky,5,5,Witch,8,8,Mega Minion,11,11,Miner,5,5,Baby Dragon,8,8,Giant,11,11,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191009T222222.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#LP0Q8LUQ,CrimsixRoyale,6206,1,#L2QQ8CRQ,CrimsixRoyale,16000159,Prince,4,8,Goblin Gang,9,13,Goblin Barrel,4,8,Dart Goblin,7,11,Rascals,9,13,Princess,1,5,The Log,1,5,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RVQ9Y98J,Nova l Psichho,4948,0,#PYRVG0YU,Harbor Kingdom,16000013,Royal Hogs,7,11,Bandit,1,5,Flying Machine,7,11,Bats,9,13,Barbarians,9,13,Musketeer,7,11,Barbarian Barrel,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191009T221823.000Z,,54000037,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#LP0Q8LUQ,CrimsixRoyale,6206,3,#L2QQ8CRQ,CrimsixRoyale,16000159,Golem,8,8,Lumberjack,5,5,Tornado,8,8,Barbarian Barrel,8,8,Witch,8,8,Night Witch,5,5,Baby Dragon,8,8,Goblin Cage,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U2PUGLYG,MonoAlpha,5169,1,#8YU2GUQ9,FAMILIA⭐FREGONA,16000098,Mega Minion,11,11,Miner,5,5,Musketeer,11,11,Balloon,8,8,Bats,13,13,Giant Snowball,13,13,Royal Recruits,13,13,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191009T221647.000Z,,54000037,Legendary Arena,72000013,DraftModeInsane,,draft,#LP0Q8LUQ,CrimsixRoyale,6206,2,#L2QQ8CRQ,CrimsixRoyale,16000159,Goblin Giant,4,8,Goblin Gang,9,13,Dart Goblin,7,11,Baby Dragon,4,8,Elite Barbarians,9,13,Goblins,9,13,Graveyard,1,5,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPQCC9CR,RattiNico23,4998,0,#8GP8QPGR,Gli AutoGol,16000028,Lightning,4,8,Royal Giant,9,13,Fire Spirits,9,13,Bandit,1,5,Musketeer,7,11,Electro Dragon,4,8,Archers,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191009T215128.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#LP0Q8LUQ,CrimsixRoyale,6206,1,#L2QQ8CRQ,CrimsixRoyale,16000159,Tornado,4,8,Witch,4,8,Goblin Barrel,4,8,Rascals,9,13,Goblin Gang,9,13,Valkyrie,7,11,The Log,1,5,Princess,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY0CYLUP8,El niño de oro,4368,0,#L2QQ8CRQ,CrimsixRoyale,16000159,Bandit,1,5,Mega Knight,1,5,Wizard,7,11,Giant Skeleton,4,8,Goblin Gang,9,13,Valkyrie,7,11,Lumberjack,1,5,Magic Archer,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191009T214736.000Z,,54000005,Arena 5,72000023,TeamVsTeamLadder,,collection,#LP0Q8LUQ,CrimsixRoyale,6206,0,#L2QQ8CRQ,CrimsixRoyale,16000159,Skeletons,13,13,Goblin Gang,13,13,Goblin Barrel,8,8,Mirror,8,8,Clone,8,8,Miner,5,5,Zap,13,13,Baby Dragon,8,8,#8L882JL08,⭐Supreme⭐,,0,#L2QQ8CRQ,CrimsixRoyale,16000159,Skeletons,11,13,Goblin Gang,10,13,Goblin Barrel,4,8,Mirror,4,8,Clone,5,8,Miner,2,5,Zap,10,13,Baby Dragon,7,8,#208R8UQCC,Bird,4714,3,#PR99VPRV,TheDarkOnes,16000014,Mini P.E.K.K.A,11,11,Fireball,11,11,Hog Rider,11,11,Fire Spirits,13,13,Inferno Tower,10,11,The Log,3,5,Freeze,8,8,Electro Wizard,4,5,#20QGPJLQY,kornkid,,3,#PR99VPRV,TheDarkOnes,16000014,Musketeer,8,11,Inferno Tower,9,11,The Log,3,5,Electro Wizard,2,5,Skeleton Army,5,8,Arrows,11,13,Baby Dragon,5,8,Bowler,8,8
casual2v2,20191009T214511.000Z,,54000024,Arena 11,72000023,TeamVsTeamLadder,,collection,#LP0Q8LUQ,CrimsixRoyale,6206,0,#L2QQ8CRQ,CrimsixRoyale,16000159,Skeletons,13,13,Goblin Gang,13,13,Goblin Barrel,8,8,Mirror,8,8,Clone,8,8,Miner,5,5,Zap,13,13,Baby Dragon,8,8,#8L882JL08,⭐Supreme⭐,,0,#L2QQ8CRQ,CrimsixRoyale,16000159,Skeletons,11,13,Goblin Gang,10,13,Goblin Barrel,4,8,Mirror,4,8,Clone,5,8,Miner,2,5,Zap,10,13,Baby Dragon,7,8,#8PYP9QG2C,stiuuu,4657,3,#JCY8RP,Alliance33,16000024,Clone,5,8,Royal Hogs,7,11,Rage,3,8,Minion Horde,10,13,Skeleton Army,4,8,Zap,13,13,Wizard,9,11,Goblin Gang,10,13,#8C2RGQ2PR,stiuuu2,,3,#JCY8RP,Alliance33,16000024,Skeleton Army,5,8,Rascals,13,13,Wizard,11,11,Flying Machine,11,11,Dark Prince,8,8,Lumberjack,5,5,Zap,13,13,Baby Dragon,8,8
casual2v2,20191009T214236.000Z,,54000004,Arena 4,72000023,TeamVsTeamLadder,,collection,#8L882JL08,⭐Supreme⭐,4572,0,#L2QQ8CRQ,CrimsixRoyale,16000159,Skeletons,11,13,Goblin Gang,10,13,Goblin Barrel,4,8,Mirror,4,8,Clone,5,8,Miner,2,5,Zap,10,13,Baby Dragon,7,8,#LP0Q8LUQ,CrimsixRoyale,,0,#L2QQ8CRQ,CrimsixRoyale,16000159,Skeletons,13,13,Goblin Gang,13,13,Goblin Barrel,8,8,Mirror,8,8,Clone,8,8,Miner,5,5,Zap,13,13,Baby Dragon,8,8,#8P889LVG9,⓪ⓢⓔⓡⓖⓔⓨ⓪,3692,3,,,,Electro Wizard,2,5,Executioner,4,8,Mega Knight,1,5,Skeleton Army,5,8,Zap,10,13,Hog Rider,8,11,Minion Horde,11,13,Lightning,5,8,#880JQUJCQ,Gucci Gang,,3,#28QC9JRJ,ПРОФСОЮЗ,16000077,Zap,13,13,The Log,3,5,Minions,12,13,Executioner,7,8,Guards,7,8,Hog Rider,11,11,Fireball,11,11,P.E.K.K.A,8,8
casual2v2,20191009T193935.000Z,,54000006,Arena 6,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#LP0Q8LUQ,CrimsixRoyale,6206,3,#L2QQ8CRQ,CrimsixRoyale,16000159,Mirror,8,8,Heal,11,11,Royal Ghost,4,5,Baby Dragon,8,8,Royal Recruits,10,13,Bomber,10,13,Barbarian Barrel,8,8,Rage,8,8,#2YJ80P0JQ,Sidiba,,3,#8RYL2PQG,Active Warriors,16000044,Furnace,11,11,Royal Giant,13,13,Lightning,7,8,The Log,5,5,Mega Minion,10,11,Bats,13,13,Lumberjack,3,5,Baby Dragon,7,8,#9928V982,Waltb,4986,1,#20PYYCV0,Riddin Dirty,16000029,Baby Dragon,8,8,Mirror,8,8,Clone,6,8,Lava Hound,3,5,Witch,8,8,Mini P.E.K.K.A,11,11,Lumberjack,4,5,Poison,6,8,#2J0C2J0L,Nigel,,1,,,,Arrows,13,13,The Log,4,5,Minions,13,13,Fire Spirits,13,13,Skeleton Army,7,8,Miner,4,5,Musketeer,11,11,Fireball,11,11
PvP,20191009T191356.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LP0Q8LUQ,CrimsixRoyale,6180,2,#L2QQ8CRQ,CrimsixRoyale,16000159,Tornado,8,8,Witch,8,8,Goblin Barrel,8,8,Rascals,13,13,Goblin Gang,13,13,Valkyrie,11,11,The Log,5,5,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28P2GQLY,Moge,6145,1,,,,Mega Minion,11,11,Prince,8,8,Zap,13,13,Poison,8,8,Witch,8,8,Giant,11,11,Miner,5,5,Dark Prince,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
