type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T050230.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LUL0PUVG,Lunger,6091,3,#2LRU2J,Crucible Wrath,16000002,Mega Knight,5,5,Furnace,11,11,Freeze,8,8,Witch,8,8,Baby Dragon,8,8,Graveyard,5,5,Dark Prince,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8L9UY9L,M̸i̸c̸t̸l̸a̸n̸♥,6073,0,#9LJQ9PU2,clashGold,16000044,Mini P.E.K.K.A,11,11,Zap,13,13,Graveyard,5,5,Ice Wizard,5,5,Arrows,12,13,Freeze,8,8,Dark Prince,8,8,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T045920.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LUL0PUVG,Lunger,6060,1,#2LRU2J,Crucible Wrath,16000002,Mega Knight,5,5,Furnace,11,11,Freeze,8,8,Witch,8,8,Baby Dragon,8,8,Graveyard,5,5,Dark Prince,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QQYGY90V,penk,6081,0,#8PLVVC98,Mega Indo Jr,16000003,Rage,8,8,Valkyrie,11,11,Arrows,13,13,Sparky,5,5,Witch,8,8,Giant,11,11,Minion Horde,13,13,Baby Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T045236.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LUL0PUVG,Lunger,6088,0,#2LRU2J,Crucible Wrath,16000002,Mega Knight,5,5,Furnace,11,11,Freeze,8,8,Witch,8,8,Baby Dragon,8,8,Graveyard,5,5,Dark Prince,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P2LCUPU,Bryaant,6104,1,#PVJ0PYQL,Bags Clan,16000162,Magic Archer,5,5,Royal Ghost,5,5,The Log,5,5,Prince,8,8,Goblin Barrel,8,8,Tornado,8,8,Goblin Gang,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T044838.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LUL0PUVG,Lunger,6059,2,#2LRU2J,Crucible Wrath,16000002,Mega Knight,5,5,Furnace,11,11,Freeze,8,8,Witch,8,8,Baby Dragon,8,8,Graveyard,5,5,Dark Prince,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9800CR9U,Антон,6053,1,#200UCVR,EKB,16000077,P.E.K.K.A,8,8,Mega Knight,5,5,Wizard,11,11,Electro Wizard,5,5,Balloon,8,8,Minion Horde,13,13,Minions,13,13,Rage,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T040334.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LUL0PUVG,Lunger,6032,1,#2LRU2J,Crucible Wrath,16000002,Mega Knight,5,5,Furnace,11,11,Freeze,8,8,Witch,8,8,Baby Dragon,8,8,Graveyard,5,5,Dark Prince,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PVV080,V.N.C-Monarch ♟,6000,0,#22LCR,V.N Champions,16000169,Poison,8,8,P.E.K.K.A,8,8,The Log,5,5,Witch,8,8,Zap,13,13,Hog Rider,11,11,Electro Wizard,5,5,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T035907.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LUL0PUVG,Lunger,6059,1,#2LRU2J,Crucible Wrath,16000002,Mega Knight,5,5,Furnace,11,11,Freeze,8,8,Witch,8,8,Baby Dragon,8,8,Graveyard,5,5,Dark Prince,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#280VCGLUP,エリザベスクローキャンディ,6087,3,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T035350.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LUL0PUVG,Lunger,6023,1,#2LRU2J,Crucible Wrath,16000002,Mega Knight,5,5,Furnace,11,11,Freeze,8,8,Witch,8,8,Baby Dragon,8,8,Graveyard,5,5,Dark Prince,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GRPJ8VP,NANDO FLA,6104,0,#2UP8R99Y,Nova l Potenza,16000044,Valkyrie,11,11,Poison,8,8,Inferno Tower,11,11,Bats,13,13,Wall Breakers,8,8,Miner,5,5,The Log,5,5,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191011T034745.000Z,,54000016,Master II,72000007,Friendly,,collection,#LUL0PUVG,Lunger,6023,1,#2LRU2J,Crucible Wrath,16000002,Goblin Giant,4,8,Goblin Gang,9,13,Bats,9,13,Minion Horde,9,13,Zap,9,13,Musketeer,7,11,Sparky,1,5,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY2LR0U0,ialshihi,5434,2,#8Y22C298,9DontKnow8,16000130,Wall Breakers,4,8,Inferno Tower,7,11,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191011T034103.000Z,,54000016,Master II,72000007,Friendly,,collection,#LUL0PUVG,Lunger,6023,2,#2LRU2J,Crucible Wrath,16000002,Giant Skeleton,4,8,Giant Snowball,9,13,Fisherman,1,5,Goblins,9,13,Poison,4,8,Graveyard,1,5,Witch,4,8,Hunter,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY2LR0U0,ialshihi,5434,1,#8Y22C298,9DontKnow8,16000130,Bats,9,13,Wall Breakers,4,8,Giant Snowball,9,13,Miner,1,5,Fisherman,1,5,Witch,4,8,Goblin Cage,7,11,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T001305.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LUL0PUVG,Lunger,5994,1,#2LRU2J,Crucible Wrath,16000002,Mega Knight,5,5,Furnace,11,11,Freeze,8,8,Witch,8,8,Baby Dragon,8,8,Graveyard,5,5,Dark Prince,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CL2J9YRR,✔DI€GO,5991,0,#P88P0QYV,Guardians™,16000157,Skeletons,13,13,Ice Spirit,13,13,Knight,13,13,Hog Rider,11,11,Executioner,8,8,Lightning,8,8,Tornado,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
