type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarWarDay,20191011T033312.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#LVU92,豆豆,6117,1,#8G9VY92,上海 OP Elite,16000000,Witch,8,8,Giant Snowball,13,13,Royal Ghost,5,5,Hog Rider,11,11,P.E.K.K.A,8,8,Lightning,8,8,Skeletons,13,13,Hunter,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LGRLCUVG,比較雷的嘿嘿嘿,5171,0,#2YPYUQ8,台灣仔,16000020,Miner,3,5,Lightning,7,8,Minion Horde,12,13,Barbarians,12,13,Wizard,9,11,Dart Goblin,9,11,The Log,3,5,Giant Snowball,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191010T121001.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#LVU92,豆豆,6117,2,#8G9VY92,上海 OP Elite,16000000,Golem,4,8,Lumberjack,1,5,Night Witch,1,5,Baby Dragon,4,8,Mega Minion,7,11,Zap,9,13,Tornado,4,8,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VUJGC0QP,Cadaver,5002,0,#28UGVJ0,Black Resistenc,16000002,Graveyard,1,5,Cannon Cart,4,8,Ice Wizard,1,5,Baby Dragon,4,8,Goblin Cage,7,11,Barbarian Barrel,4,8,Tornado,4,8,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191010T120556.000Z,,54000037,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#LVU92,豆豆,6117,0,#8G9VY92,上海 OP Elite,16000000,Elixir Collector,11,11,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Lumberjack,5,5,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CRQGLGYQ,亚比,5257,3,#2J99R8LU,亚洲之鹰燃烧吧-战火营,16000002,Poison,8,8,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,6,8,Fisherman,4,5,Clone,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191010T120410.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#LVU92,豆豆,6117,1,#8G9VY92,上海 OP Elite,16000000,Royal Hogs,7,11,Bandit,1,5,Flying Machine,7,11,Bats,9,13,Barbarians,9,13,Musketeer,7,11,Barbarian Barrel,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UU98RJPY,なおと,5088,3,#YR99UQC,CHROME HEARTS,16000028,Golem,4,8,Lumberjack,1,5,Night Witch,1,5,Baby Dragon,4,8,Mega Minion,7,11,Zap,9,13,Tornado,4,8,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T105313.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LVU92,豆豆,6079,3,#8G9VY92,上海 OP Elite,16000000,Elixir Collector,11,11,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Lumberjack,5,5,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V0YGGCR,DreamingFly™⚽,6177,0,#89LYVPGJ,The Gods™,16000164,Miner,5,5,Poison,8,8,Inferno Dragon,5,5,Wall Breakers,8,8,Bats,13,13,Zap,13,13,Mega Knight,5,5,Fisherman,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T104845.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LVU92,豆豆,6049,3,#8G9VY92,上海 OP Elite,16000000,Elixir Collector,11,11,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Lumberjack,5,5,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GJVCG9Q9,モンキー,6058,0,#PULYGGVU,Blackマジシャン,16000032,Ice Golem,11,11,The Log,5,5,Tesla,13,13,Fireball,11,11,X-Bow,8,8,Skeletons,13,13,Archers,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T104505.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LVU92,豆豆,6074,0,#8G9VY92,上海 OP Elite,16000000,Elixir Collector,11,11,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Lumberjack,5,5,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPUCPVC8,şadov prov,6130,1,#9P8JC0PL,ŞAVAŞÇILAR,16000030,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T104109.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LVU92,豆豆,6048,3,#8G9VY92,上海 OP Elite,16000000,Elixir Collector,11,11,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Lumberjack,5,5,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8QUC0P,YT JS Gaming,6012,1,#9JYR0VYG,⚡️SD United⚡️,16000008,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T103724.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LVU92,豆豆,6074,1,#8G9VY92,上海 OP Elite,16000000,Elixir Collector,11,11,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Lumberjack,5,5,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJLJ98U,DIG Blaze,6113,2,#2LRU2J,Crucible Wrath,16000002,Wall Breakers,8,8,Hunter,8,8,Mega Knight,5,5,Ice Spirit,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T103250.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#LVU92,豆豆,6043,3,#8G9VY92,上海 OP Elite,16000000,Elixir Collector,11,11,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Lumberjack,5,5,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CCR02PP2,saribakhsh,6064,1,#VL8VJRG,(اساطير رويال),16000028,Zap,13,13,Minion Horde,13,13,Fireball,11,11,Minions,13,13,Giant,11,11,Miner,5,5,The Log,5,5,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
