type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191010T212547.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,7,collection,#P28GL92P,곱v,6151,1,#PGPV0GG,잎새,16000170,Fisherman,1,5,Knight,9,13,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R0YRG9CQ,simplyFAFA,5371,0,#P0PYC2UR,Sandstorm GER™,16000097,Baby Dragon,4,8,Fisherman,1,5,Furnace,7,11,Lightning,4,8,Mega Minion,7,11,Royal Giant,9,13,Skeletons,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T212223.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,6,collection,#P28GL92P,곱v,6151,1,#PGPV0GG,잎새,16000170,Fisherman,1,5,Knight,9,13,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9U2VQCYQ0,NNNNNNN,5600,0,#9QPY988,#780,16000076,Electro Dragon,4,8,Poison,4,8,Golem,4,8,Fisherman,1,5,Mega Minion,7,11,Skeletons,9,13,Night Witch,1,5,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T192043.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,5,collection,#P28GL92P,곱v,6151,1,#PGPV0GG,잎새,16000170,Fisherman,1,5,Knight,9,13,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J2P8Y8Q,TR HUGIÑO,4974,0,,,,Giant Snowball,9,13,Bandit,1,5,Poison,4,8,Baby Dragon,4,8,Mega Knight,1,5,Ram Rider,1,5,Electro Wizard,1,5,Magic Archer,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T191640.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,4,collection,#P28GL92P,곱v,6151,1,#PGPV0GG,잎새,16000170,Fisherman,1,5,Knight,9,13,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8URUQQ,$R-Shadow™,5328,0,,,,Fireball,7,11,The Log,1,5,Baby Dragon,4,8,Furnace,7,11,Witch,4,8,Mega Minion,7,11,Royal Giant,9,13,Fisherman,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T175209.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,3,collection,#P28GL92P,곱v,6151,1,#PGPV0GG,잎새,16000170,Fisherman,1,5,Knight,9,13,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CGJQQPLR,Uchiha Sasuke,5368,0,#89CY88L,the akatsuki,16000002,Dark Prince,4,8,Electro Wizard,1,5,Fisherman,1,5,Giant Snowball,9,13,Magic Archer,1,5,Mega Knight,1,5,Mega Minion,7,11,Royal Hogs,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T174133.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,3,collection,#P28GL92P,곱v,6151,0,#PGPV0GG,잎새,16000170,Fisherman,1,5,Knight,9,13,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CRV9G8G9,Villa Muerte,5514,1,#L00CQ0G8,liga martillo,16000023,Wall Breakers,4,8,Giant Snowball,9,13,Mega Knight,1,5,Dart Goblin,7,11,Bats,9,13,Miner,1,5,Fisherman,1,5,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T173538.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#P28GL92P,곱v,6151,1,#PGPV0GG,잎새,16000170,Fisherman,1,5,Knight,9,13,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QGRVRGYQ,AVIA THE KING,4737,0,#GRPG2RC,ישראל,16000014,Baby Dragon,4,8,Barbarian Barrel,4,8,Golem,4,8,Mega Minion,7,11,Tornado,4,8,Poison,4,8,Lumberjack,1,5,Night Witch,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T173200.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,1,collection,#P28GL92P,곱v,6151,1,#PGPV0GG,잎새,16000170,Fisherman,1,5,Knight,9,13,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRRUPL0L2,Daruma,4922,0,#9U8LL2QU,MEE,16000154,Valkyrie,7,11,Hog Rider,7,11,Tornado,4,8,Executioner,4,8,Goblins,9,13,The Log,1,5,Rocket,7,11,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T172720.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,0,collection,#P28GL92P,곱v,6151,1,#PGPV0GG,잎새,16000170,Fisherman,1,5,Knight,9,13,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QJYG2RCG,Matrix'S,4701,0,#JPV90PL,los mejores,16000139,Magic Archer,1,5,The Log,1,5,Goblin Barrel,4,8,Goblin Gang,9,13,Inferno Tower,7,11,Ice Spirit,9,13,Fisherman,1,5,Hog Rider,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191009T052430.000Z,,54000024,Arena 11,72000023,TeamVsTeamLadder,,collection,#P28GL92P,곱v,6151,3,#PGPV0GG,잎새,16000170,Bats,13,13,Fisherman,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Miner,5,5,Wall Breakers,8,8,Witch,8,8,Zap,13,13,#20LCR2CPR,快手搜南寂,,3,#L2QPV2,T.I.E,16000044,Ice Spirit,13,13,Prince,8,8,The Log,5,5,Princess,5,5,Rascals,13,13,Dart Goblin,11,11,Rocket,11,11,Goblin Barrel,8,8,#992RQRR8,Martin,4951,0,#GPV0G0,Slovakia!,16000072,Fireball,11,11,Hog Rider,11,11,Furnace,11,11,Valkyrie,10,11,Zap,13,13,Prince,8,8,Wizard,11,11,Mega Minion,10,11,#Y22R209U,番茄国王,,0,#PR9R80P8,royal chinese#1,16000132,Valkyrie,11,11,Royal Giant,13,13,Wizard,11,11,Hog Rider,11,11,Witch,8,8,Goblin Hut,11,11,Fireball,11,11,Flying Machine,11,11
