type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T094244.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#P2QGCU89,Ney Guzman♠♣,6123,2,#8JG8Y20R,TeamLiquid SV,16000063,Guards,4,8,Miner,1,5,The Log,1,5,Rocket,7,11,Balloon,4,8,Ice Golem,7,11,Electro Dragon,4,8,Bandit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P2JVR0RL9,grospor,4622,0,#JVYULUQ,Ярославль,16000072,Electro Wizard,1,5,Witch,4,8,Fire Spirits,9,13,Graveyard,1,5,Zap,9,13,Barbarian Barrel,4,8,Elixir Golem,7,11,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T093828.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#P2QGCU89,Ney Guzman♠♣,6123,3,#8JG8Y20R,TeamLiquid SV,16000063,Fisherman,1,5,Fireball,7,11,Wizard,7,11,Spear Goblins,9,13,Elixir Golem,7,11,Ice Wizard,1,5,Ram Rider,1,5,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9J2UQ2RP8,Levi,4930,1,#9GLYJCQG,The Plug 18+,16000166,Fire Spirits,9,13,Graveyard,1,5,Princess,1,5,Royal Giant,9,13,Skeletons,9,13,Mega Minion,7,11,Earthquake,7,11,Rascals,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T093454.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#P2QGCU89,Ney Guzman♠♣,6123,2,#8JG8Y20R,TeamLiquid SV,16000063,Ice Golem,7,11,Fireball,7,11,Fire Spirits,9,13,Giant,7,11,Mega Minion,7,11,Goblin Giant,4,8,Minions,9,13,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LYVQYRJL,巴扎嘿,5290,1,#9UQP0VY8,皇城,16000008,Flying Machine,7,11,Magic Archer,1,5,Elixir Golem,7,11,Goblin Barrel,4,8,Royal Hogs,7,11,Skeletons,9,13,Giant Snowball,9,13,Skeleton Army,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T093110.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#P2QGCU89,Ney Guzman♠♣,6123,3,#8JG8Y20R,TeamLiquid SV,16000063,Mega Minion,7,11,Royal Giant,9,13,Poison,4,8,Golem,4,8,Electro Wizard,1,5,Dark Prince,4,8,Bandit,1,5,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29JQG9GY9,1935,4101,1,#28UUG2QY,I rossoneri,16000081,Guards,4,8,Royal Ghost,1,5,Elite Barbarians,9,13,Princess,1,5,Elixir Golem,7,11,Earthquake,7,11,Battle Ram,7,11,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T092738.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#P2QGCU89,Ney Guzman♠♣,6123,1,#8JG8Y20R,TeamLiquid SV,16000063,Zappies,7,11,X-Bow,4,8,Royal Recruits,9,13,Royal Giant,9,13,Electro Dragon,4,8,Rocket,7,11,Ice Spirit,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVUVR02,Agent47,5353,0,#L09LP,German-Stars,16000043,Bats,9,13,Minions,9,13,The Log,1,5,Princess,1,5,Hog Rider,7,11,Elixir Golem,7,11,Barbarian Hut,7,11,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T092351.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#P2QGCU89,Ney Guzman♠♣,6123,2,#8JG8Y20R,TeamLiquid SV,16000063,Golem,4,8,Wall Breakers,4,8,Wizard,7,11,Rocket,7,11,Cannon Cart,4,8,Goblins,9,13,Night Witch,1,5,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YCLVJRCV,alex,5141,1,#YR2GL,Advanced Basics,16000077,Minion Horde,9,13,Electro Dragon,4,8,Ice Golem,7,11,Lumberjack,1,5,Poison,4,8,Witch,4,8,Ram Rider,1,5,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T091934.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#P2QGCU89,Ney Guzman♠♣,6123,2,#8JG8Y20R,TeamLiquid SV,16000063,Rocket,7,11,Cannon Cart,4,8,Ice Golem,7,11,Witch,4,8,Giant Snowball,9,13,Elixir Golem,7,11,Goblins,9,13,Royal Giant,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QY0UC20P,M_Titos,4929,1,#PRR080CU,Team Piña,16000088,Balloon,4,8,Ice Spirit,9,13,Valkyrie,7,11,Arrows,9,13,Minions,9,13,Goblin Gang,9,13,Bandit,1,5,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T091513.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#P2QGCU89,Ney Guzman♠♣,6123,2,#8JG8Y20R,TeamLiquid SV,16000063,Golem,4,8,Dark Prince,4,8,Wall Breakers,4,8,The Log,1,5,Magic Archer,1,5,Tombstone,7,11,Mega Minion,7,11,Guards,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G29QLLR,che3,4964,1,#QR9YQP,chooks-to-go,16000161,Goblin Gang,9,13,Archers,9,13,Furnace,7,11,Mega Knight,1,5,Lightning,4,8,Miner,1,5,Dart Goblin,7,11,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T091051.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,6,draft,#P2QGCU89,Ney Guzman♠♣,6123,1,#8JG8Y20R,TeamLiquid SV,16000063,Baby Dragon,4,8,Zap,9,13,Royal Hogs,7,11,X-Bow,4,8,Elixir Golem,7,11,Barbarian Barrel,4,8,Electro Wizard,1,5,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P29JG9U,憂鬱控肉飯,5225,0,#2GR2UYC,宜蘭的驕傲,16000169,Minions,9,13,Witch,4,8,Earthquake,7,11,Miner,1,5,Tombstone,7,11,Graveyard,1,5,Giant Snowball,9,13,Valkyrie,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T090708.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,5,draft,#P2QGCU89,Ney Guzman♠♣,6123,2,#8JG8Y20R,TeamLiquid SV,16000063,Hog Rider,7,11,Minion Horde,9,13,X-Bow,4,8,Giant Snowball,9,13,Knight,9,13,Goblins,9,13,Spear Goblins,9,13,Lava Hound,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22P0RV9G9,Joker,5115,1,#9U0YUPJU,Karaganda 09,16000028,Elixir Golem,7,11,Hunter,4,8,Fire Spirits,9,13,Mini P.E.K.K.A,7,11,Lightning,4,8,Cannon Cart,4,8,Zappies,7,11,Graveyard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T090337.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,4,draft,#P2QGCU89,Ney Guzman♠♣,6123,1,#8JG8Y20R,TeamLiquid SV,16000063,Rocket,7,11,Goblin Cage,7,11,Ice Golem,7,11,Wizard,7,11,Elixir Golem,7,11,Miner,1,5,Goblins,9,13,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQJ8LRY2,Aitor,5210,0,#YJR0C9P,mordor royale,16000029,Poison,4,8,Guards,4,8,Goblin Barrel,4,8,Valkyrie,7,11,Minion Horde,9,13,Ice Spirit,9,13,Furnace,7,11,Earthquake,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T085954.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,3,draft,#P2QGCU89,Ney Guzman♠♣,6123,1,#8JG8Y20R,TeamLiquid SV,16000063,Archers,9,13,Ice Golem,7,11,Ram Rider,1,5,Golem,4,8,Bomb Tower,7,11,Ice Spirit,9,13,Barbarian Barrel,4,8,Rascals,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PR0YVQVR,さー,5065,0,#PP0R9RJL,!#ケルベロス#!,16000002,Dark Prince,4,8,Arrows,9,13,Bats,9,13,Cannon Cart,4,8,Elixir Golem,7,11,Royal Giant,9,13,Skeleton Army,4,8,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T085618.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,3,draft,#P2QGCU89,Ney Guzman♠♣,6123,0,#8JG8Y20R,TeamLiquid SV,16000063,Fireball,7,11,Zappies,7,11,Goblin Giant,4,8,Mini P.E.K.K.A,7,11,Tombstone,7,11,Goblin Barrel,4,8,Skeletons,9,13,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RJC0PQPC,KENTON,5086,1,#2PV9V8PL,有部落,16000049,Royal Giant,9,13,Ice Golem,7,11,Bomber,9,13,Goblin Hut,7,11,Rascals,9,13,Battle Ram,7,11,Minions,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
