type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T062534.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,6147,1,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GR9VU9QQ,Koolkid:),6052,0,#29YY8L89,娱乐至上,16000128,Mega Minion,11,11,Skeletons,13,13,Miner,5,5,Fisherman,5,5,Witch,8,8,Giant,11,11,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T062124.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,6131,1,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822C8222U,WHAM! | ADI™,5968,0,#P20Y92VP,WHAM! RO,16000156,Mega Knight,5,5,Zap,13,13,Spear Goblins,13,13,Fireball,11,11,Hog Rider,11,11,Bats,13,13,Witch,8,8,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T061612.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,6159,1,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GLRQ2999,<c6>SparkyGOD,6180,2,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T060820.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,6134,2,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L28L8VPV,SAWAYA,6085,0,#99R99VCL,Warriors Aztec,16000077,Bats,13,13,Balloon,8,8,Zap,13,13,Miner,5,5,Ice Golem,11,11,Mega Knight,5,5,Inferno Dragon,5,5,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T060102.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,6099,1,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VC0JJ9,RHVR17,6163,0,#9R08LY28,SbY eSports,16000166,Princess,5,5,The Log,5,5,Rocket,11,11,Goblin Barrel,8,8,Inferno Tower,11,11,Knight,13,13,Goblin Gang,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T055426.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,6061,3,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VC0JV20L,I’m Edwin :),6168,1,#YVPQV8V,CSL1,16000142,Giant,11,11,Sparky,5,5,Zap,13,13,Dark Prince,8,8,Minions,13,13,Minion Horde,13,13,Elixir Collector,11,11,Bandit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T035551.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,6034,2,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GV2UV0P,RESIDENT EVIL,6002,1,#YRRVUJGY,ADVENGERS CRC,16000044,Golem,8,8,Night Witch,5,5,Dark Prince,8,8,Mega Minion,11,11,Baby Dragon,8,8,Mini P.E.K.K.A,11,11,Tornado,8,8,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T035151.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,6058,1,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QC098JC9,JoseBrayan⚽️,6126,2,#PGRC2QQ8,SS Gaming,16000009,Sparky,5,5,Witch,8,8,Mega Minion,11,11,Miner,5,5,Baby Dragon,8,8,Giant,11,11,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T034454.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,6022,3,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U92QLL2J,YT✌DDaB0ng™,6104,1,#228YYL99,AllinForce,16000017,P.E.K.K.A,8,8,Valkyrie,11,11,Royal Ghost,5,5,Dark Prince,8,8,Fisherman,5,5,Electro Wizard,5,5,Battle Ram,11,11,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T033849.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#P9U8C22P,비버,5997,1,#YJYQ9JRC,비버,16000107,Skeletons,13,13,Mega Minion,11,11,Witch,8,8,Giant,11,11,Fisherman,5,5,Night Witch,5,5,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LG8Y8VJL,JorgeDlaGarza☣️,5947,0,#98RJUQJQ,EgamerLatamES,16000000,Electro Wizard,5,5,P.E.K.K.A,8,8,Witch,8,8,Zap,13,13,Poison,8,8,Battle Ram,11,11,Bandit,5,5,Dark Prince,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
