type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20191010T121257.000Z,,54000001,Arena 1,72000023,TeamVsTeamLadder,,collection,#R8R0Y0VY,⚡Gorczu69⚡,4852,3,#PR2QGQQP,NWO 3,16000002,Clone,6,8,Bats,12,13,Balloon,7,8,Skeleton Army,6,8,Baby Dragon,6,8,Lumberjack,3,5,Lava Hound,3,5,Arrows,11,13,#PGC80VLQ,BS I ⚜️Mati⚜️,,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#92YUCJY9R,Crank,5160,0,#8CCGGVC8,Харьков,16000013,Arrows,13,13,Rage,8,8,Mini P.E.K.K.A,11,11,Sparky,5,5,Wizard,11,11,Minion Horde,13,13,Witch,8,8,Prince,8,8,#Y0JPVYRJ,Shkoda,,0,#8CCGGVC8,Харьков,16000013,Minions,12,13,Sparky,3,5,Lumberjack,2,5,Mini P.E.K.K.A,10,11,Fire Spirits,10,13,Executioner,8,8,Fireball,11,11,Valkyrie,8,11
casual2v2,20191010T121034.000Z,,54000007,Arena 10,72000023,TeamVsTeamLadder,,collection,#R8R0Y0VY,⚡Gorczu69⚡,4852,3,#PR2QGQQP,NWO 3,16000002,Clone,6,8,Bats,12,13,Balloon,7,8,Skeleton Army,6,8,Baby Dragon,6,8,Lumberjack,3,5,Lava Hound,3,5,Arrows,11,13,#PGC80VLQ,BS I ⚜️Mati⚜️,,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#9JCGUC0CL,pika de foice,4885,0,#8PJLYJVU,BraSiL Royale,16000024,Rage,6,8,Prince,7,8,Inferno Dragon,4,5,Fireball,11,11,Witch,8,8,Valkyrie,11,11,Hog Rider,11,11,Wizard,11,11,#2J22VVQJ8,fran,,0,#8GYP2L2G,El clan Oscuro,16000024,Witch,6,8,Arrows,12,13,Mega Knight,3,5,Freeze,6,8,Mini P.E.K.K.A,10,11,Inferno Tower,8,11,Rage,7,8,Fireball,10,11
casual2v2,20191010T120738.000Z,,54000005,Arena 5,72000023,TeamVsTeamLadder,,collection,#R8R0Y0VY,⚡Gorczu69⚡,4852,3,#PR2QGQQP,NWO 3,16000002,Clone,6,8,Bats,12,13,Balloon,7,8,Skeleton Army,6,8,Baby Dragon,6,8,Lumberjack,3,5,Lava Hound,3,5,Arrows,11,13,#PGC80VLQ,BS I ⚜️Mati⚜️,,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#8U8Q0LRPP,Matheus H,4625,0,#8JV0LUCC,Família Leste,16000029,Giant Skeleton,6,8,Princess,1,5,P.E.K.K.A,7,8,Mini P.E.K.K.A,9,11,Lumberjack,2,5,The Log,2,5,Wizard,9,11,Goblin Barrel,5,8,#9Y0LRP8YL,Gabriel,,0,#8JV0LUCC,Família Leste,16000029,Dart Goblin,11,11,Goblin Barrel,7,8,Furnace,11,11,Wizard,11,11,Mini P.E.K.K.A,10,11,Skeleton Army,7,8,Lumberjack,4,5,The Log,3,5
casual2v2,20191010T120620.000Z,,54000010,Arena 9,72000023,TeamVsTeamLadder,,collection,#R8R0Y0VY,⚡Gorczu69⚡,4852,3,#PR2QGQQP,NWO 3,16000002,Clone,6,8,Bats,12,13,Balloon,7,8,Skeleton Army,6,8,Baby Dragon,6,8,Lumberjack,3,5,Lava Hound,3,5,Arrows,11,13,#PGC80VLQ,BS I ⚜️Mati⚜️,,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#8QUYVLLJG,evan,4244,0,#9VQ00G8Q,PeacockElite,16000118,Ice Spirit,12,13,The Log,3,5,Princess,3,5,Goblin Barrel,7,8,Goblin Gang,12,13,Rocket,8,11,Tesla,12,13,Valkyrie,9,11,#YCR0VQPR,NooB13094,,0,#P2P0JP02,Royal Dutch,16000074,Rage,8,8,Ice Wizard,4,5,Fireball,11,11,Zap,13,13,Hog Rider,11,11,Elite Barbarians,13,13,Electro Wizard,5,5,Musketeer,11,11
casual2v2,20191010T120157.000Z,,54000004,Arena 4,72000023,TeamVsTeamLadder,,collection,#R8R0Y0VY,⚡Gorczu69⚡,4852,3,#PR2QGQQP,NWO 3,16000002,Clone,6,8,Bats,12,13,Balloon,7,8,Skeleton Army,6,8,Baby Dragon,6,8,Lumberjack,3,5,Lava Hound,3,5,Arrows,11,13,#PGC80VLQ,BS I ⚜️Mati⚜️,,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#2JJY0U9L8,Nova I LLL™,4810,2,#PRQRRVV2,LFE-Elite,16000159,X-Bow,7,8,Tesla,12,13,Archers,12,13,Ice Wizard,3,5,Ice Spirit,12,13,Knight,12,13,The Log,3,5,Fireball,9,11,#2QYPLPRVV,P.E.K.K.A 6bikg,,2,#PRQRRVV2,LFE-Elite,16000159,Hog Rider,11,11,Inferno Dragon,4,5,Elite Barbarians,13,13,Skeleton Army,8,8,Bandit,3,5,Princess,3,5,Zap,12,13,Rocket,10,11
casual2v2,20191010T115846.000Z,,54000000,Training Camp,72000023,TeamVsTeamLadder,,collection,#R8R0Y0VY,⚡Gorczu69⚡,4852,3,#PR2QGQQP,NWO 3,16000002,Clone,6,8,Bats,12,13,Balloon,7,8,Skeleton Army,6,8,Baby Dragon,6,8,Lumberjack,3,5,Lava Hound,3,5,Arrows,11,13,#PGC80VLQ,BS I ⚜️Mati⚜️,,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#9UYGRQU8J,bredmax,4584,1,#LQ9LCL,Sem clã,16000150,Freeze,7,8,Wizard,11,11,Witch,7,8,Barbarian Barrel,7,8,P.E.K.K.A,7,8,Hog Rider,11,11,Bats,13,13,Bandit,4,5,#9P9ULJVLY,julia,,1,#22PYJUP8,TruhenClan,16000080,Balloon,7,8,Freeze,7,8,Skeleton Army,4,8,Mini P.E.K.K.A,10,11,Fireball,10,11,Minion Horde,13,13,Wizard,10,11,Baby Dragon,6,8
casual2v2,20191010T115528.000Z,,54000024,Arena 11,72000023,TeamVsTeamLadder,,collection,#R8R0Y0VY,⚡Gorczu69⚡,4852,3,#PR2QGQQP,NWO 3,16000002,Clone,6,8,Bats,12,13,Balloon,7,8,Skeleton Army,6,8,Baby Dragon,6,8,Lumberjack,3,5,Lava Hound,3,5,Arrows,11,13,#PGC80VLQ,BS I ⚜️Mati⚜️,,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#P0CY8J80,米奥,5149,0,#22CCUU9V,HiPDA Discover,16000142,Rocket,9,11,Fireball,8,11,Zap,13,13,Magic Archer,1,5,The Log,3,5,Musketeer,11,11,Poison,6,8,Mega Knight,2,5,#C80VU2Y,©️®️⭐️BHAVIK,,0,#8C2JP02P,India,16000059,Minions,13,13,Fireball,11,11,Graveyard,2,5,Mega Minion,11,11,Giant,11,11,Goblin Barrel,8,8,Zap,13,13,Sparky,5,5
casual2v2,20191010T115327.000Z,,54000009,Arena 8,72000023,TeamVsTeamLadder,,collection,#R8R0Y0VY,⚡Gorczu69⚡,4852,3,#PR2QGQQP,NWO 3,16000002,Clone,6,8,Bats,12,13,Balloon,7,8,Skeleton Army,6,8,Baby Dragon,6,8,Lumberjack,3,5,Lava Hound,3,5,Arrows,11,13,#PGC80VLQ,BS I ⚜️Mati⚜️,,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#9C88029QC,elFaceSSWW,4584,0,#P828YJYP,LOS INTOCABLES,16000105,The Log,2,5,Balloon,6,8,Wizard,9,11,Bats,11,13,Arrows,10,13,Tesla,11,13,Lumberjack,3,5,Skeleton Army,6,8,#80G8U9PQU,<c3>cuberomuff,,0,#P828YJYP,LOS INTOCABLES,16000105,Arrows,12,13,Wizard,11,11,Tesla,13,13,Fire Spirits,13,13,Barbarian Barrel,8,8,Balloon,7,8,Guards,8,8,Lumberjack,5,5
casual2v2,20191010T115040.000Z,,54000006,Arena 6,72000023,TeamVsTeamLadder,,collection,#R8R0Y0VY,⚡Gorczu69⚡,4852,3,#PR2QGQQP,NWO 3,16000002,Clone,6,8,Bats,12,13,Balloon,7,8,Skeleton Army,6,8,Baby Dragon,6,8,Lumberjack,3,5,Lava Hound,3,5,Arrows,11,13,#PGC80VLQ,BS I ⚜️Mati⚜️,,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#PRV2VUP22,打他孖孖燒他全家,4121,0,#RG89C2G,香港 ！ HK 害人鏢 II,16000029,Golem,7,8,Lumberjack,3,5,Mega Minion,10,11,Barbarian Barrel,6,8,Baby Dragon,7,8,Tornado,6,8,Night Witch,4,5,Poison,5,8,#9CLU20UQR,JengJ,,0,#98GLCCGC,謎。城,16000004,Guards,8,8,Zap,13,13,Fireball,11,11,Inferno Dragon,4,5,Bandit,4,5,Mega Knight,4,5,Battle Ram,11,11,Minions,13,13
casual2v2,20191010T114716.000Z,,54000002,Arena 2,72000023,TeamVsTeamLadder,,collection,#PGC80VLQ,BS I ⚜️Mati⚜️,6199,3,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,#22GU8C2QP,따공,,3,#2CY2V8RQ,ACE,16000014,Graveyard,5,5,Furnace,11,11,Valkyrie,11,11,Flying Machine,11,11,Poison,8,8,Witch,8,8,Inferno Tower,11,11,Freeze,8,8,#YYQ2UQPV,ashley,4658,0,#V0YP09,Ardennes08,16000078,Mega Knight,5,5,Valkyrie,10,11,Fireball,8,11,Musketeer,11,11,Witch,8,8,Executioner,8,8,Arrows,13,13,Barbarians,13,13,#8Y0JURUQQ,andrei,,0,#99Y8GJ0Y,R U S S I A,16000002,Royal Giant,13,13,Rage,7,8,Giant Skeleton,8,8,Wizard,11,11,Minion Horde,13,13,Skeleton Army,8,8,Inferno Dragon,5,5,Fireball,10,11
