type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T143254.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#PLCVY9,Schwarzen,6153,3,#L09LP,German-Stars,16000043,Lumberjack,1,5,Wizard,7,11,Battle Ram,7,11,Zap,9,13,Goblin Gang,9,13,Royal Ghost,1,5,Elixir Golem,7,11,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QY290PJ,BlackJack,4978,0,#JC9200C,Dnepr city,16000171,Spear Goblins,9,13,Rascals,9,13,Hunter,4,8,Dark Prince,4,8,Fireball,7,11,Hog Rider,7,11,Electro Dragon,4,8,Cannon,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T142946.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,6,draft,#PLCVY9,Schwarzen,6153,3,#L09LP,German-Stars,16000043,Musketeer,7,11,Witch,4,8,Elixir Golem,7,11,Barbarian Barrel,4,8,Goblin Gang,9,13,Mega Minion,7,11,The Log,1,5,Hog Rider,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20GLRGYV2,monkeys killer,4978,0,#P20QRR2J,YAKUZA GORILLAS,16000161,Balloon,4,8,Poison,4,8,Zappies,7,11,Minions,9,13,Arrows,9,13,Valkyrie,7,11,Hunter,4,8,Wizard,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T142744.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,5,draft,#PLCVY9,Schwarzen,6153,2,#L09LP,German-Stars,16000043,Royal Ghost,1,5,Bandit,1,5,Zap,9,13,Skeletons,9,13,Elixir Golem,7,11,Miner,1,5,The Log,1,5,Baby Dragon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8899Q0JC2,Andrè,4389,1,#GC2RY80,Bombers,16000081,Ice Wizard,1,5,Poison,4,8,Hog Rider,7,11,Royal Recruits,9,13,Spear Goblins,9,13,Fireball,7,11,Prince,4,8,Valkyrie,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T142403.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,4,draft,#PLCVY9,Schwarzen,6153,2,#L09LP,German-Stars,16000043,Graveyard,1,5,Fireball,7,11,Spear Goblins,9,13,Goblin Cage,7,11,Baby Dragon,4,8,Barbarian Barrel,4,8,Inferno Dragon,1,5,Rascals,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VCLV0RL,dude bro,3442,1,#28CGPJQR,Rising Soldiers,16000178,Elixir Golem,7,11,Zappies,7,11,Lightning,4,8,Hunter,4,8,Inferno Tower,7,11,Ice Spirit,9,13,Freeze,4,8,Goblin Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T142021.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,3,draft,#PLCVY9,Schwarzen,6153,2,#L09LP,German-Stars,16000043,Night Witch,1,5,Minions,9,13,Graveyard,1,5,Fireball,7,11,Knight,9,13,Goblin Gang,9,13,Spear Goblins,9,13,Tornado,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RY9C2G,kaikeat96,5249,1,#CUUC0PR,#壹柒用事2,16000146,Earthquake,7,11,Archers,9,13,Magic Archer,1,5,Elixir Golem,7,11,Lightning,4,8,Royal Giant,9,13,Guards,4,8,Fisherman,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T141651.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,2,draft,#PLCVY9,Schwarzen,6153,2,#L09LP,German-Stars,16000043,Goblin Barrel,4,8,Tombstone,7,11,Elixir Golem,7,11,Goblins,9,13,Archers,9,13,Prince,4,8,The Log,1,5,Dark Prince,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPPPU8G,G.A.B.R.I.E.L,5305,1,#YVY0CUC,POLAND,16000067,Goblin Cage,7,11,Arrows,9,13,Minion Horde,9,13,Inferno Dragon,1,5,Skeleton Army,4,8,Ice Golem,7,11,X-Bow,4,8,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134928.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,1,draft,#PLCVY9,Schwarzen,6153,3,#L09LP,German-Stars,16000043,Goblin Cage,7,11,Minions,9,13,Mega Minion,7,11,Minion Horde,9,13,Elixir Golem,7,11,Lightning,4,8,Baby Dragon,4,8,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9P22Y2PV,JothanR3,4696,0,#2QL90C28,Costa Rica,16000164,Ram Rider,1,5,Wizard,7,11,Rocket,7,11,Royal Giant,9,13,Bowler,4,8,Bandit,1,5,Skeletons,9,13,Knight,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134612.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,0,draft,#PLCVY9,Schwarzen,6153,1,#L09LP,German-Stars,16000043,The Log,1,5,P.E.K.K.A,4,8,Tornado,4,8,Wall Breakers,4,8,Archers,9,13,Elixir Collector,7,11,Ice Spirit,9,13,Royal Recruits,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R2C9CY,SUMIT,4699,0,#PJUCC9YJ,Atom Masters,16000145,Elixir Golem,7,11,Goblins,9,13,Goblin Hut,7,11,Executioner,4,8,Giant,7,11,Earthquake,7,11,Lumberjack,1,5,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarWarDay,20191010T222221.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#PLCVY9,Schwarzen,6153,1,#L09LP,German-Stars,16000043,Giant Skeleton,7,8,Poison,7,8,Baby Dragon,7,8,Night Witch,4,5,Furnace,10,11,Ice Spirit,12,13,Giant Snowball,12,13,Princess,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PCR02QR8,Colora3,5248,0,#9JQ88RG8,!los bienjugado,16000162,Lumberjack,4,5,Miner,4,5,Balloon,7,8,Musketeer,10,11,Bats,12,13,Valkyrie,10,11,Fireball,10,11,Zap,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T221623.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#PLCVY9,Schwarzen,6128,1,#L09LP,German-Stars,16000043,Goblin Cage,11,11,Baby Dragon,8,8,Tornado,8,8,Lightning,8,8,Mega Minion,11,11,Night Witch,5,5,Barbarian Barrel,8,8,Golem,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CGLRRPYL,<c4>Chuky Kush♿,6070,0,#PCLVUGCL,⭐New Elite⭐,16000028,Mega Knight,5,5,Wall Breakers,8,8,Night Witch,5,5,Poison,8,8,Witch,8,8,Bandit,5,5,Miner,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
