type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T083809.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#PP9L2PYG,ENM⚡Basti,6133,3,#8R9289Q2,#Eskalation,16000142,Elixir Golem,7,11,Cannon Cart,4,8,Minions,9,13,Night Witch,1,5,Goblin Hut,7,11,Skeleton Barrel,9,13,Witch,4,8,Arrows,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q9PL0CJ0,大罗天★帝仙尘,5139,0,#2C0LLYJ,(J+Z)*oe,16000008,Barbarian Barrel,4,8,Electro Wizard,1,5,Royal Giant,9,13,X-Bow,4,8,Bandit,1,5,Fire Spirits,9,13,Royal Ghost,1,5,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T083524.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#PP9L2PYG,ENM⚡Basti,6133,3,#8R9289Q2,#Eskalation,16000142,Goblins,9,13,Barbarian Barrel,4,8,Dark Prince,4,8,Giant,7,11,Cannon Cart,4,8,Musketeer,7,11,Lightning,4,8,Goblin Giant,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLLPLL0QV,良薬口にワロシ〜おなか薬師仏〜,4867,0,#PYQUPYLC,ニラレバー,16000140,Miner,1,5,The Log,1,5,Executioner,4,8,Royal Ghost,1,5,Elixir Golem,7,11,Wizard,7,11,Earthquake,7,11,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T083216.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#PP9L2PYG,ENM⚡Basti,6133,2,#8R9289Q2,#Eskalation,16000142,Rascals,9,13,Fireball,7,11,Mega Minion,7,11,Musketeer,7,11,Giant,7,11,Ice Spirit,9,13,Miner,1,5,Fire Spirits,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CVQL892J,Orbis,5160,1,#29URQJG,#CzSk Kings,16000087,Goblin Gang,9,13,Elixir Golem,7,11,Skeleton Army,4,8,Royal Hogs,7,11,Spear Goblins,9,13,Bats,9,13,Barbarian Barrel,4,8,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T082804.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#PP9L2PYG,ENM⚡Basti,6133,3,#8R9289Q2,#Eskalation,16000142,Goblin Gang,9,13,Bandit,1,5,Barbarian Barrel,4,8,Baby Dragon,4,8,Cannon Cart,4,8,Ice Wizard,1,5,Battle Ram,7,11,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q9RCQG2,GeezyWeezy,5431,0,#QR0YJR,Bay Area,16000040,Royal Giant,9,13,Ram Rider,1,5,Inferno Dragon,1,5,Minion Horde,9,13,Sparky,1,5,Zap,9,13,Bomber,9,13,Fire Spirits,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T082528.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#PP9L2PYG,ENM⚡Basti,6133,1,#8R9289Q2,#Eskalation,16000142,Minion Horde,9,13,Skeleton Army,4,8,Royal Giant,9,13,Bomber,9,13,Zap,9,13,Barbarian Barrel,4,8,Executioner,4,8,Giant,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0YU0298,Psycho*75,4615,0,#9V2GRGQV,!USA!,16000001,Elixir Golem,7,11,Electro Wizard,1,5,Freeze,4,8,Fireball,7,11,Fire Spirits,9,13,Graveyard,1,5,Ice Golem,7,11,Royal Ghost,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T082159.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#PP9L2PYG,ENM⚡Basti,6133,2,#8R9289Q2,#Eskalation,16000142,Hog Rider,7,11,Elixir Golem,7,11,Earthquake,7,11,Inferno Tower,7,11,Skeletons,9,13,Magic Archer,1,5,Ice Wizard,1,5,Guards,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9V0QU0VVL,AkMaNnN,4921,0,#CL8V9LY,Vega Warriors!!,16000028,Goblin Gang,9,13,Electro Dragon,4,8,Flying Machine,7,11,Goblins,9,13,Cannon,9,13,Zap,9,13,Valkyrie,7,11,Goblin Giant,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T081823.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#PP9L2PYG,ENM⚡Basti,6133,0,#8R9289Q2,#Eskalation,16000142,Goblin Giant,4,8,Ice Golem,7,11,Rascals,9,13,Minions,9,13,Spear Goblins,9,13,Guards,4,8,Cannon,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJ8Y00C9,梦境阁丨浅沫,5622,2,#9JVRCRQ8,魔都上海之死亡之翼,16000168,Arrows,9,13,Barbarians,9,13,Archers,9,13,Mega Minion,7,11,Fire Spirits,9,13,Fisherman,1,5,Elixir Golem,7,11,Goblin Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T081441.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#PP9L2PYG,ENM⚡Basti,6133,2,#8R9289Q2,#Eskalation,16000142,Fireball,7,11,Hunter,4,8,Goblin Giant,4,8,Royal Recruits,9,13,Bats,9,13,Fisherman,1,5,Ice Spirit,9,13,Royal Ghost,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CU0JGR0,me hdi.m,4691,1,#U0QULR0,IRANI,16000058,Valkyrie,7,11,Minions,9,13,Magic Archer,1,5,Spear Goblins,9,13,Elixir Golem,7,11,Royal Giant,9,13,Minion Horde,9,13,Earthquake,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T080712.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#PP9L2PYG,ENM⚡Basti,6133,1,#8R9289Q2,#Eskalation,16000142,Dark Prince,4,8,Hog Rider,7,11,Giant Snowball,9,13,Ice Golem,7,11,Valkyrie,7,11,Goblin Gang,9,13,Ice Wizard,1,5,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PCY28VC0,mago lendario,5135,0,#UUV2U0,Attack on Titan,16000005,Poison,4,8,Baby Dragon,4,8,Guards,4,8,Mini P.E.K.K.A,7,11,Elixir Golem,7,11,Lightning,4,8,Battle Ram,7,11,Hunter,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T080342.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,6,draft,#PP9L2PYG,ENM⚡Basti,6133,3,#8R9289Q2,#Eskalation,16000142,Ice Spirit,9,13,Elixir Golem,7,11,Minion Horde,9,13,Ram Rider,1,5,Earthquake,7,11,Ice Wizard,1,5,Flying Machine,7,11,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0CY8PCQ,Jon Snow,5116,1,#2UGPJQ2,来不及解释了快上车,16000044,Skeleton Army,4,8,Baby Dragon,4,8,Fisherman,1,5,Arrows,9,13,Goblin Barrel,4,8,Electro Dragon,4,8,Royal Recruits,9,13,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
