type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20191010T042243.000Z,,54000008,Arena 7,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#Q082RRLQ,Xx_Enrique_xX,6158,3,#P2QV8JVV,Centuriones,16000096,Cannon,13,13,Hog Rider,11,11,Ice Spirit,13,13,Fireball,11,11,Ice Golem,11,11,Musketeer,11,11,Skeletons,11,13,The Log,5,5,#2QUG8GJ00,jskipy,,3,#9PJ82CRC,RoyaleAPI Alpha,16000005,Golem,8,8,Baby Dragon,8,8,Minion Horde,13,13,Night Witch,5,5,Tornado,8,8,Skeleton Army,8,8,Zap,13,13,Witch,8,8,#P9QJGRVP8,hungoverNhardup,4825,0,#8PG0C99,AMERICAN MUSCLE,16000038,Bats,13,13,Magic Archer,4,5,Mini P.E.K.K.A,11,11,Fireball,11,11,Hog Rider,11,11,Poison,7,8,Mega Knight,4,5,Barbarian Barrel,8,8,#8022JYPVU,lihe34,,0,#8RUG8PGL,MaderFakkeri,16000165,Zap,13,13,Valkyrie,11,11,Princess,4,5,Tesla,13,13,Fireball,11,11,Ice Spirit,13,13,Hog Rider,11,11,Goblin Gang,13,13
casual2v2,20191010T042035.000Z,,54000009,Arena 8,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#Q082RRLQ,Xx_Enrique_xX,6158,3,#P2QV8JVV,Centuriones,16000096,Cannon,13,13,Hog Rider,11,11,Ice Spirit,13,13,Fireball,11,11,Ice Golem,11,11,Musketeer,11,11,Skeletons,11,13,The Log,5,5,#8JLQVJQ8L,@legendario4.9@,,3,#Q9UV8V,Honduras Royale,16000012,Golem,8,8,Lumberjack,5,5,Mega Minion,11,11,Tornado,8,8,Night Witch,5,5,Baby Dragon,8,8,The Log,5,5,Poison,8,8,#8U8PYRRV,GRAN JEFE,5141,1,#9JGLJ80G,pokemon z kai,16000020,Zap,13,13,Giant,11,11,Hog Rider,11,11,Fireball,11,11,Wizard,11,11,Valkyrie,11,11,Inferno Dragon,4,5,Tornado,7,8,#JRLRC8CR,NEMESIS,,1,#9JGLJ80G,pokemon z kai,16000020,Royal Giant,13,13,Fireball,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,4,5,Knight,13,13,Skeletons,11,13,Mini P.E.K.K.A,11,11
casual2v2,20191010T041730.000Z,,54000009,Arena 8,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#Q082RRLQ,Xx_Enrique_xX,6158,3,#P2QV8JVV,Centuriones,16000096,Cannon,13,13,Hog Rider,11,11,Ice Spirit,13,13,Fireball,11,11,Ice Golem,11,11,Musketeer,11,11,Skeletons,11,13,The Log,5,5,#LRYR2QVQ,特雷西,,3,#YCC02UV,迷你皮卡乐园,16000160,Goblin Gang,13,13,Hog Rider,11,11,Inferno Tower,11,11,Princess,5,5,Poison,8,8,Skeleton Army,8,8,The Log,5,5,Goblin Barrel,8,8,#YG9R289P,桀骜蓝黑,4863,0,#PP92QPR,小明星幼儿园,16000169,Hog Rider,11,11,Spear Goblins,13,13,Arrows,13,13,Cannon,13,13,Fireball,11,11,Freeze,8,8,Barbarians,13,13,Minion Horde,13,13,#UVGV00,нulкules,,0,#8JYJPQLC,AF Squads,16000028,Cannon,13,13,Musketeer,11,11,Fireball,11,11,Hog Rider,11,11,Ice Golem,11,11,Ice Spirit,13,13,Skeletons,13,13,The Log,4,5
casual2v2,20191010T041407.000Z,,54000008,Arena 7,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#Q082RRLQ,Xx_Enrique_xX,6158,2,#P2QV8JVV,Centuriones,16000096,Cannon,13,13,Hog Rider,11,11,Ice Spirit,13,13,Fireball,11,11,Ice Golem,11,11,Musketeer,11,11,Skeletons,11,13,The Log,5,5,#8JRC80YPR,Trombini,,2,#LVLGC2,Royal Storm,16000008,Flying Machine,11,11,Lumberjack,5,5,Lava Hound,5,5,Clone,8,8,Baby Dragon,8,8,Bats,13,13,Witch,8,8,Giant Snowball,13,13,#8G2CCQ9Y,mik.ko,4826,1,#JJ0PR2P,Skaro,16000077,Golem,8,8,Mega Minion,11,11,Skeleton Army,6,8,Poison,8,8,Night Witch,5,5,Barbarian Barrel,8,8,Baby Dragon,8,8,Zap,13,13,#9JR8V0U2,HITZ*LAST KiNG*,,1,#8J2JLY,Delhi Daredevil,16000059,Freeze,7,8,Fire Spirits,13,13,Rocket,11,11,Mirror,8,8,Goblin Barrel,8,8,Mega Knight,5,5,Bomb Tower,11,11,Fireball,11,11
casual2v2,20191010T041020.000Z,,54000024,Arena 11,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#Q082RRLQ,Xx_Enrique_xX,6158,3,#P2QV8JVV,Centuriones,16000096,Cannon,13,13,Hog Rider,11,11,Ice Spirit,13,13,Fireball,11,11,Ice Golem,11,11,Musketeer,11,11,Skeletons,11,13,The Log,5,5,#8JRC80YPR,Trombini,,3,#LVLGC2,Royal Storm,16000008,Flying Machine,11,11,Lumberjack,5,5,Lava Hound,5,5,Clone,8,8,Baby Dragon,8,8,Bats,13,13,Witch,8,8,Giant Snowball,13,13,#8JC20Y0G,Itachi,4841,1,#GPGR8Q,La Familia,16000075,Furnace,11,11,Princess,5,5,Mirror,8,8,Zap,13,13,Clone,7,8,Fireball,11,11,Bomber,13,13,Giant Skeleton,8,8,#PG2Y2LC8,Pabs,,1,#Q0VRV0,Victis Honor,16000163,Minion Horde,13,13,Freeze,8,8,The Log,3,5,Lumberjack,5,5,Dart Goblin,11,11,Wizard,11,11,Goblin Gang,13,13,Royal Giant,13,13
casual2v2,20191010T040705.000Z,,54000007,Arena 10,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#Q082RRLQ,Xx_Enrique_xX,6158,1,#P2QV8JVV,Centuriones,16000096,Cannon,13,13,Hog Rider,11,11,Ice Spirit,13,13,Fireball,11,11,Ice Golem,11,11,Musketeer,11,11,Skeletons,11,13,The Log,5,5,#9YCPP0LRC,a775 proaza,,1,#29PLGYG8,tu pompis,16000054,Spear Goblins,13,13,Arrows,13,13,Golem,8,8,Skeleton Army,8,8,Valkyrie,11,11,Sparky,4,5,Inferno Dragon,4,5,Lumberjack,5,5,#8R2JCV800,Alex,5113,2,#P8GRJCRP,SoleYluna,16000163,Bandit,5,5,Arrows,13,13,Valkyrie,11,11,Fireball,11,11,Barbarians,13,13,Executioner,8,8,Rage,8,8,Electro Wizard,5,5,#29L888GU9,Vetrox,,2,#2VLCVCU0,bad-family,16000024,Tesla,13,13,Rocket,11,11,Dart Goblin,11,11,Arrows,13,13,Musketeer,11,11,Mega Knight,5,5,Mortar,13,13,Mirror,8,8
PvP,20191009T231035.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#Q082RRLQ,Xx_Enrique_xX,6122,1,#P2QV8JVV,Centuriones,16000096,Giant,11,11,Goblin Gang,13,13,Sparky,5,5,Mini P.E.K.K.A,11,11,Executioner,8,8,Minions,13,13,Tornado,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C2LJ2J0Y,⚜️KingAlex⚜️,6203,0,#9UJV0JGP,Mkers ITA,16000044,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T131420.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#Q082RRLQ,Xx_Enrique_xX,6090,1,#P2QV8JVV,Centuriones,16000096,Giant,11,11,Goblin Gang,13,13,Sparky,5,5,Mini P.E.K.K.A,11,11,Executioner,8,8,Minions,13,13,Tornado,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CVUCJR2Y,Lord Joe™️,6118,0,#9VGQPJQ0,ConTrol Gaming,16000044,Poison,8,8,Bandit,5,5,Royal Ghost,5,5,Zap,13,13,P.E.K.K.A,8,8,Battle Ram,11,11,Magic Archer,5,5,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191009T053425.000Z,,54000010,Arena 9,72000023,TeamVsTeamLadder,,collection,#Q082RRLQ,Xx_Enrique_xX,6090,1,#P2QV8JVV,Centuriones,16000096,Cannon,13,13,Hog Rider,11,11,Ice Spirit,13,13,Fireball,11,11,Ice Golem,11,11,Musketeer,11,11,Skeletons,11,13,The Log,5,5,#Q0VQYYLG,Art,,1,#88GJJQQ0,Dogs of War,16000044,Guards,8,8,Hog Rider,11,11,Furnace,11,11,Lightning,8,8,Fisherman,3,5,Executioner,8,8,The Log,4,5,Valkyrie,11,11,#2J8CUGGYP,Dr Octa,5355,0,#90LLRV,40 and over uk2,16000061,Barbarian Barrel,8,8,Baby Dragon,8,8,Poison,8,8,Mini P.E.K.K.A,11,11,Hog Rider,11,11,Mega Minion,11,11,Mega Knight,5,5,Witch,8,8,#8208P9GU,Saladinho,,0,#LVGP8PR,Brave Slayers,16000164,Hog Rider,11,11,Goblin Gang,13,13,Goblin Barrel,8,8,Inferno Tower,11,11,Knight,13,13,Princess,5,5,Zap,13,13,Skeleton Army,8,8
casual2v2,20191009T053101.000Z,,54000006,Arena 6,72000023,TeamVsTeamLadder,,collection,#Q082RRLQ,Xx_Enrique_xX,6090,0,#P2QV8JVV,Centuriones,16000096,Cannon,13,13,Hog Rider,11,11,Ice Spirit,13,13,Fireball,11,11,Ice Golem,11,11,Musketeer,11,11,Skeletons,11,13,The Log,5,5,#8P898L990,louisyu,,0,#PGJPC8Y,M.I.T™ Force,16000171,P.E.K.K.A,8,8,Dart Goblin,11,11,Goblin Gang,13,13,Mortar,13,13,Miner,5,5,Bats,12,13,Poison,8,8,The Log,4,5,#QLRQVVQC,Halo,4824,1,#8YCYQRU,蛇蛇天團,16000028,Minions,13,13,Mini P.E.K.K.A,11,11,Giant,11,11,Tombstone,10,11,Fireball,11,11,Rage,7,8,Zap,13,13,Witch,8,8,#8JVR0VUR,ぐるぐる,,1,#G98LLQR,ゆるふわ⭐︎王国,16000020,P.E.K.K.A,8,8,Executioner,8,8,Zappies,11,11,Wizard,11,11,Tornado,6,8,Electro Wizard,5,5,Mega Knight,5,5,Poison,8,8
