type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T112916.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,0,draft,#QC098JC9,JoseBrayan⚽️,6322,2,#PGRC2QQ8,SS Gaming,16000009,Magic Archer,1,5,Lightning,4,8,Royal Hogs,7,11,Elixir Golem,7,11,Arrows,9,13,X-Bow,4,8,Flying Machine,7,11,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVV8QYGG8,El Xok0,4683,3,#QUGQRLV,Mamayas Crew.,16000007,Skeleton Army,4,8,Hunter,4,8,Prince,4,8,Poison,4,8,Miner,1,5,Graveyard,1,5,Zap,9,13,Ice Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T105711.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QC098JC9,JoseBrayan⚽️,6298,1,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GGUCV0U,<c2>0es3｜幻听,6232,0,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T064415.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QC098JC9,JoseBrayan⚽️,6276,1,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20Q0RGQ,The One,6192,0,#PGUGCRQ9,FVESL KIX MY™️,16000096,Electro Wizard,5,5,Lightning,8,8,Royal Giant,13,13,The Log,5,5,Goblin Hut,11,11,Baby Dragon,8,8,Furnace,11,11,Barbarians,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T063408.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QC098JC9,JoseBrayan⚽️,6254,1,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20PRP9Q9,OS Marcøs,6160,0,#9GLU9YRR,Blazar Gaming,16000032,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Cannon,13,13,Ice Spirit,13,13,The Log,5,5,Skeletons,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T062827.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QC098JC9,JoseBrayan⚽️,6227,1,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G2V9L8G8,Down I Reo,6199,0,#Y0LJ0CQP,Down by Law,16000142,Inferno Dragon,5,5,Balloon,8,8,Miner,5,5,Executioner,8,8,Zap,13,13,Tornado,8,8,Mega Knight,5,5,Guards,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T062420.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QC098JC9,JoseBrayan⚽️,6267,0,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UPG92JC,Sinchu,6138,1,#8QVQ2CGV,Re:Start,16000000,Miner,5,5,Valkyrie,11,11,Wall Breakers,8,8,Skeletons,13,13,Executioner,8,8,Bats,13,13,Tornado,8,8,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T061903.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QC098JC9,JoseBrayan⚽️,6248,1,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20R029UL,Andreos M7,6116,0,#P0LLG9RG,QLASH Eclipse,16000003,Ice Golem,11,11,Ice Spirit,13,13,Archers,13,13,The Log,5,5,Fireball,11,11,X-Bow,8,8,Skeletons,13,13,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T061427.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QC098JC9,JoseBrayan⚽️,6288,0,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U8CLPGJV,HaLo丨晓风残月⭐️,6165,3,#Y8PQC902,听说你玩CR比残月厉害,16000008,Zap,13,13,Golem,8,8,Baby Dragon,8,8,Clone,8,8,Barbarians,13,13,Night Witch,5,5,Witch,7,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T055851.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QC098JC9,JoseBrayan⚽️,6271,1,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0YYJGJ0,simo.suppli,6115,0,#PCUG9CG,Royal Prestige,16000143,Royal Giant,13,13,Minions,13,13,Mega Minion,11,11,Lightning,8,8,Zap,13,13,Barbarians,13,13,Furnace,11,11,Ice Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T054715.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QC098JC9,JoseBrayan⚽️,6250,1,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GLQPLUVJ,皇室狂少,6149,0,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
