type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T120021.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QCPQGYQ,nima_bluesky,6072,1,#8YGRJ8GG,Nova I Iran,16000044,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VYJL0P2C,Eden I Forte,6069,0,#P8L20U2V,Second Eden,16000142,Golem,8,8,Night Witch,5,5,Baby Dragon,8,8,Mega Minion,11,11,Rocket,11,11,Guards,8,8,Fire Spirits,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T115531.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QCPQGYQ,nima_bluesky,6042,3,#8YGRJ8GG,Nova I Iran,16000044,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29Y02RGJV,COP I bydlak,6045,1,#P0UQPU2G,Champions of PL,16000044,Lava Hound,5,5,Inferno Dragon,5,5,Balloon,8,8,Fireball,11,11,Miner,5,5,Baby Dragon,8,8,Guards,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T115157.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QCPQGYQ,nima_bluesky,6072,1,#8YGRJ8GG,Nova I Iran,16000044,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GVGJJ02Q,余地あああア,6072,2,#9UU92P0V,Stay Forever,16000010,Mortar,13,13,Valkyrie,11,11,Musketeer,11,11,Miner,5,5,Skeletons,13,13,Ice Spirit,13,13,The Log,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114643.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QCPQGYQ,nima_bluesky,6046,1,#8YGRJ8GG,Nova I Iran,16000044,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP9L8QQQ,atuporon,6008,0,#PJVU0GQR,肉まん,16000143,Witch,8,8,X-Bow,8,8,Elixir Collector,11,11,Ice Golem,11,11,Skeletons,13,13,Tesla,13,13,The Log,5,5,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114200.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QCPQGYQ,nima_bluesky,6080,0,#8YGRJ8GG,Nova I Iran,16000044,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82YUJ92Y8,魔王かるち,6024,1,#PGJ980U0,ジャー坊⛏,16000154,Executioner,8,8,Balloon,8,8,Valkyrie,11,11,Bats,13,13,Zap,13,13,Miner,4,5,Skeletons,13,13,Tornado,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T113740.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QCPQGYQ,nima_bluesky,6110,0,#8YGRJ8GG,Nova I Iran,16000044,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QG9Q88GJ,༄叶༅昱༄,6103,1,#YYL2GJUC,女神的世界,16000111,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T070442.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,0,draft,#QCPQGYQ,nima_bluesky,6110,2,#8YGRJ8GG,Nova I Iran,16000044,Spear Goblins,9,13,Tesla,9,13,Guards,4,8,Barbarian Barrel,4,8,Skeleton Barrel,9,13,Baby Dragon,4,8,Elixir Golem,7,11,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P2CLP8U,GuiNaranti,4901,1,#9QL900Q9,ABAJHAMBA,16000058,Zap,9,13,Valkyrie,7,11,Musketeer,7,11,Ram Rider,1,5,Fireball,7,11,Skeletons,9,13,Lumberjack,1,5,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T231048.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,6,collection,#QCPQGYQ,nima_bluesky,6110,0,#8YGRJ8GG,Nova I Iran,16000044,Zap,9,13,Bats,9,13,Wall Breakers,4,8,Miner,1,5,Goblin Gang,9,13,Inferno Dragon,1,5,Witch,4,8,Mega Knight,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJG0JPQ2,amanj,5070,1,#VGYUY0G,Iran Union 3,16000171,Golem,4,8,Night Witch,1,5,Lumberjack,1,5,Lightning,4,8,Tornado,4,8,Mega Minion,7,11,Baby Dragon,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T230710.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,6,collection,#QCPQGYQ,nima_bluesky,6110,0,#8YGRJ8GG,Nova I Iran,16000044,Zap,9,13,Bats,9,13,Wall Breakers,4,8,Miner,1,5,Goblin Gang,9,13,Inferno Dragon,1,5,Witch,4,8,Mega Knight,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20V80028,Syztum™,5718,1,#922VCJ,Orange Juice,16000140,Witch,4,8,Wall Breakers,4,8,Bats,9,13,Skeletons,9,13,Valkyrie,7,11,Miner,1,5,Princess,1,5,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T230336.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,5,collection,#QCPQGYQ,nima_bluesky,6110,3,#8YGRJ8GG,Nova I Iran,16000044,Zap,9,13,Bats,9,13,Wall Breakers,4,8,Miner,1,5,Goblin Gang,9,13,Inferno Dragon,1,5,Witch,4,8,Mega Knight,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#800Q99VCP,Slimnerdy,5355,1,#8CLQRLR9,De Nådeløse,16000029,Miner,1,5,Zap,9,13,Skeleton Barrel,9,13,Goblin Gang,9,13,Mega Knight,1,5,Inferno Dragon,1,5,Bats,9,13,Prince,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
