type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T131444.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#QG9RQUP8,如果有假如的男宠,6149,3,#2LPQU828,战无不胜家族,16000010,Elixir Golem,7,11,Rascals,9,13,Arrows,9,13,Hog Rider,7,11,Spear Goblins,9,13,Archers,9,13,Hunter,4,8,Elite Barbarians,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRUVLPCCP,RS DU,4662,1,#98CPL8YG,familia Brasil,16000058,Witch,4,8,Royal Ghost,1,5,Zappies,7,11,Goblin Gang,9,13,Giant,7,11,Lightning,4,8,Minion Horde,9,13,Lava Hound,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T131112.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#QG9RQUP8,如果有假如的男宠,6149,3,#2LPQU828,战无不胜家族,16000010,Ice Spirit,9,13,Goblin Gang,9,13,Baby Dragon,4,8,Witch,4,8,Royal Ghost,1,5,Miner,1,5,Battle Ram,7,11,Earthquake,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#288P22G8Y,jluna503,5463,2,#89C0CCGU,3 Swords SV,16000040,The Log,1,5,Royal Hogs,7,11,Elixir Golem,7,11,Archers,9,13,Dark Prince,4,8,Minion Horde,9,13,Guards,4,8,Fire Spirits,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T130755.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#QG9RQUP8,如果有假如的男宠,6149,1,#2LPQU828,战无不胜家族,16000010,Minion Horde,9,13,The Log,1,5,Musketeer,7,11,Lava Hound,1,5,Ice Golem,7,11,Elixir Collector,7,11,Zap,9,13,Graveyard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRJCYLY0L,老刘,4095,0,#PCVLGUUY,剪不断，理还乱,16000107,Goblin Barrel,4,8,Poison,4,8,Tombstone,7,11,Guards,4,8,Elixir Golem,7,11,Mega Minion,7,11,Arrows,9,13,Zappies,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T130417.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#QG9RQUP8,如果有假如的男宠,6149,3,#2LPQU828,战无不胜家族,16000010,Royal Recruits,9,13,Fisherman,1,5,Skeleton Army,4,8,Goblin Barrel,4,8,Earthquake,7,11,The Log,1,5,Musketeer,7,11,Royal Ghost,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0RR8U8CQ,Цезарь,3080,0,#99C0PQ2G,враги скуки,16000072,Prince,4,8,Electro Wizard,1,5,Fireball,7,11,Rocket,7,11,Graveyard,1,5,Skeletons,9,13,Inferno Dragon,1,5,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T130036.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#QG9RQUP8,如果有假如的男宠,6149,2,#2LPQU828,战无不胜家族,16000010,Baby Dragon,4,8,Elixir Golem,7,11,Guards,4,8,Fireball,7,11,Giant Snowball,9,13,Archers,9,13,Bats,9,13,Royal Hogs,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GU090CJ8,poifei,5075,0,#PJCJC02,Die Salzburger,16000024,Goblin Giant,4,8,Princess,1,5,Musketeer,7,11,Zap,9,13,Arrows,9,13,Ice Spirit,9,13,Lava Hound,1,5,Valkyrie,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T125610.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#QG9RQUP8,如果有假如的男宠,6149,3,#2LPQU828,战无不胜家族,16000010,Magic Archer,1,5,Valkyrie,7,11,Baby Dragon,4,8,Battle Ram,7,11,P.E.K.K.A,4,8,Goblins,9,13,Spear Goblins,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CRJ2LP2Y,jeroen,5082,0,#CUQ0GQ8,10 op 10,16000164,Rocket,7,11,Musketeer,7,11,Minions,9,13,Rascals,9,13,Graveyard,1,5,Zappies,7,11,Elixir Golem,7,11,Ice Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T125404.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#QG9RQUP8,如果有假如的男宠,6149,3,#2LPQU828,战无不胜家族,16000010,Rocket,7,11,Goblin Barrel,4,8,Goblin Gang,9,13,Witch,4,8,Miner,1,5,Skeletons,9,13,Princess,1,5,Goblin Cage,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YPQCRJCL,PipoMaster,5202,0,#92L0PJCJ,los sublebados,16000002,Prince,4,8,Night Witch,1,5,Ice Golem,7,11,Elixir Golem,7,11,Hunter,4,8,Fire Spirits,9,13,Royal Giant,9,13,Earthquake,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T125028.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#QG9RQUP8,如果有假如的男宠,6149,1,#2LPQU828,战无不胜家族,16000010,Executioner,4,8,Magic Archer,1,5,Skeleton Army,4,8,Lightning,4,8,Rocket,7,11,Elixir Golem,7,11,Graveyard,1,5,Bandit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LCRYPJRU,决战天下,4380,0,#88LQRRY,金融界,16000176,Minion Horde,9,13,Royal Hogs,7,11,Valkyrie,7,11,Tornado,4,8,Giant Snowball,9,13,Skeletons,9,13,Ice Wizard,1,5,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T124647.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,6,draft,#QG9RQUP8,如果有假如的男宠,6149,1,#2LPQU828,战无不胜家族,16000010,Minion Horde,9,13,Miner,1,5,Hunter,4,8,Fire Spirits,9,13,Barbarian Barrel,4,8,Ice Wizard,1,5,Spear Goblins,9,13,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22CQ92220,chong,4872,0,#8JLCV90Y,◇Anarkia◇,16000024,Valkyrie,7,11,Cannon Cart,4,8,Lumberjack,1,5,Rocket,7,11,Goblin Gang,9,13,Bomber,9,13,Ram Rider,1,5,Musketeer,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T124237.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,5,draft,#QG9RQUP8,如果有假如的男宠,6149,2,#2LPQU828,战无不胜家族,16000010,Hog Rider,7,11,Lumberjack,1,5,Princess,1,5,Inferno Dragon,1,5,Fisherman,1,5,Zap,9,13,Fire Spirits,9,13,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92G8Q99,★Fistach★,4779,1,#8PJLJUJG,Groźne Misie,16000024,Elixir Golem,7,11,Goblin Gang,9,13,Poison,4,8,Goblin Cage,7,11,Hunter,4,8,Ice Wizard,1,5,Mortar,9,13,Royal Giant,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
