type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20191011T114924.000Z,,54000016,Master II,72000066,Showdown_Ladder,,collection,#QL2000Q,malihi,6230,2,#28GJJUQ,Electro,16000010,Zap,12,13,Mega Minion,10,11,Giant,10,11,Valkyrie,10,11,Hog Rider,10,11,Poison,7,8,Minions,12,13,Fireball,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200QL88V9,ValkyRie,5505,1,#28GJJUQ,Electro,16000010,Arrows,12,13,Valkyrie,10,11,Magic Archer,3,5,Hunter,7,8,Lumberjack,4,5,Hog Rider,10,11,Goblin Barrel,7,8,Royal Ghost,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191011T111720.000Z,,54000015,Master I,72000066,Showdown_Ladder,,collection,#QL2000Q,malihi,6230,3,#28GJJUQ,Electro,16000010,Zap,12,13,Mega Minion,10,11,Giant,10,11,Valkyrie,10,11,Hog Rider,10,11,Poison,7,8,Minions,12,13,Fireball,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LRC99GUU,LittleFinger,5192,1,#28GJJUQ,Electro,16000010,Barbarian Barrel,7,8,Goblin Barrel,7,8,Fireball,10,11,Mega Minion,9,11,Zap,12,13,Lumberjack,3,5,Hog Rider,10,11,Ice Spirit,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T111147.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QL2000Q,malihi,6201,3,#28GJJUQ,Electro,16000010,Freeze,8,8,Mini P.E.K.K.A,11,11,Valkyrie,11,11,Baby Dragon,8,8,Zap,13,13,Wizard,11,11,Musketeer,11,11,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9R9C2LQQC,♤♡SCOUNDREL◇♧,6191,1,#8L8C2VJQ,Karmes PDF,16000032,Balloon,8,8,Lumberjack,5,5,Baby Dragon,8,8,Tornado,8,8,Freeze,8,8,Barbarian Barrel,8,8,Inferno Dragon,5,5,Bowler,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarWarDay,20191011T110953.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#QL2000Q,malihi,6201,1,#28GJJUQ,Electro,16000010,Zap,12,13,Mega Minion,10,11,Giant,10,11,Valkyrie,10,11,Hog Rider,10,11,Poison,7,8,Minions,12,13,Fireball,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YGGY88P,Mauern,5032,0,#R0VGUY,Power Ghost,16000174,Giant Skeleton,7,8,Mini P.E.K.K.A,9,11,Magic Archer,3,5,Tornado,6,8,Bomber,11,13,Baby Dragon,7,8,Arrows,12,13,Archers,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191011T100626.000Z,,54000018,Champion,72000066,Showdown_Ladder,,collection,#QL2000Q,malihi,6201,3,#28GJJUQ,Electro,16000010,Zap,12,13,Mega Minion,10,11,Giant,10,11,Valkyrie,10,11,Hog Rider,10,11,Poison,7,8,Minions,12,13,Fireball,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QJRG9GLG,tamir,5258,0,#28GJJUQ,Electro,16000010,Arrows,12,13,Valkyrie,10,11,Magic Archer,3,5,Lumberjack,3,5,Mortar,11,13,Giant,9,11,Minions,11,13,The Log,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191011T100209.000Z,,54000018,Champion,72000007,Friendly,,collection,#QL2000Q,malihi,6201,1,#28GJJUQ,Electro,16000010,Freeze,4,8,Mini P.E.K.K.A,7,11,Valkyrie,7,11,Baby Dragon,4,8,Zap,9,13,Wizard,7,11,Musketeer,7,11,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QJRG9GLG,tamir,5258,0,#28GJJUQ,Electro,16000010,Valkyrie,7,11,Furnace,7,11,Musketeer,7,11,Goblin Hut,7,11,Skeletons,9,13,Arrows,9,13,Baby Dragon,4,8,Mini P.E.K.K.A,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191011T095213.000Z,,54000018,Champion,72000066,Showdown_Ladder,,collection,#QL2000Q,malihi,6201,0,#28GJJUQ,Electro,16000010,Zap,12,13,Mega Minion,10,11,Giant,10,11,Valkyrie,10,11,Lumberjack,3,5,Poison,7,8,Minions,12,13,Magic Archer,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2URY92PRG,MBN,5617,1,#28GJJUQ,Electro,16000010,Zap,12,13,The Log,4,5,Hog Rider,10,11,Mortar,12,13,Hunter,7,8,Valkyrie,10,11,Mega Minion,10,11,Fireball,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T072300.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,4,draft,#QL2000Q,malihi,6201,0,#28GJJUQ,Electro,16000010,Earthquake,7,11,Skeleton Army,4,8,Goblin Gang,9,13,Miner,1,5,Barbarians,9,13,Zappies,7,11,Ice Golem,7,11,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y0GL29Q,太阳之舞☀,5185,3,#G09UUL,雇佣兵,16000009,Magic Archer,1,5,Elixir Golem,7,11,Executioner,4,8,Mini P.E.K.K.A,7,11,Wall Breakers,4,8,Fire Spirits,9,13,Royal Ghost,1,5,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T072022.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,4,draft,#QL2000Q,malihi,6201,0,#28GJJUQ,Electro,16000010,Princess,1,5,Goblin Giant,4,8,Executioner,4,8,Fireball,7,11,Lumberjack,1,5,Hunter,4,8,Ice Spirit,9,13,Giant,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJLJG00Q8,JeanPi_Cs7,4738,3,#829LJRR,.:UP_507:.,16000005,Elixir Golem,7,11,Minions,9,13,Wizard,7,11,Rascals,9,13,Rocket,7,11,Bats,9,13,Goblin Barrel,4,8,Fisherman,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T071850.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,4,draft,#QL2000Q,malihi,6201,0,#28GJJUQ,Electro,16000010,Elixir Golem,7,11,Miner,1,5,Night Witch,1,5,Spear Goblins,9,13,Bomber,9,13,Arrows,9,13,X-Bow,4,8,Dart Goblin,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VCGGPYUU,SSAI,5307,1,#9RULC0JU,#CR For Fun™,16000114,Witch,4,8,Bandit,1,5,Rocket,7,11,Archers,9,13,Skeleton Army,4,8,Mega Minion,7,11,Skeleton Barrel,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
