type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarWarDay,20191010T111106.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#QPUCPVC8,şadov prov,6312,3,#9P8JC0PL,ŞAVAŞÇILAR,16000030,P.E.K.K.A,8,8,Bats,12,13,Minion Horde,12,13,Dart Goblin,10,11,Magic Archer,3,5,Lightning,7,8,Arrows,12,13,Skeleton Barrel,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P2L9C99Y,inacopy,5103,1,#9R2P9029,暴躁世界_陷阵营,16000025,Royal Giant,12,13,Lightning,7,8,Arrows,12,13,Valkyrie,10,11,Baby Dragon,7,8,Musketeer,10,11,Spear Goblins,12,13,Minions,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191010T002455.000Z,,54000002,Arena 2,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#QPUCPVC8,şadov prov,6312,1,#9P8JC0PL,ŞAVAŞÇILAR,16000030,The Log,5,5,Baby Dragon,8,8,Mini P.E.K.K.A,11,11,Zap,13,13,Night Witch,5,5,Giant,11,11,Lightning,8,8,Minions,13,13,#Y0CVQ8C2,dapunani,,1,#9LG8VC89,Munich Veterans,16000004,Mirror,8,8,Fireball,11,11,Lumberjack,5,5,Electro Wizard,5,5,Wizard,11,11,Mega Knight,5,5,Zap,13,13,Furnace,11,11,#9898LRL9Y,㊙️Star⭐Lord㊙️,5172,0,#PY8YL99C,Team Suicida,16000165,Mega Minion,11,11,P.E.K.K.A,8,8,Fireball,11,11,Balloon,8,8,Bandit,5,5,Archers,13,13,Electro Dragon,8,8,Tornado,7,8,#UVPCRV8G,kev-amnesia,,0,#28RGQCPP,amnésia,16000078,Mini P.E.K.K.A,11,11,Valkyrie,11,11,Clone,7,8,Rocket,11,11,Skeleton Barrel,13,13,Baby Dragon,8,8,Flying Machine,11,11,Barbarian Barrel,8,8
PvP,20191010T001942.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QPUCPVC8,şadov prov,6285,2,#9P8JC0PL,ŞAVAŞÇILAR,16000030,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2VYVPPU,king night,6252,1,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T184059.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,4,collection,#QPUCPVC8,şadov prov,6285,1,#890U2R0U,#TUR,16000030,Lava Hound,1,5,Fireball,7,11,Zap,9,13,Miner,1,5,Baby Dragon,4,8,Minions,9,13,Guards,4,8,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29PULP99,samajul,5036,3,#992CRCLJ,ELECTRO⚡PLAYERS,16000010,P.E.K.K.A,4,8,Dark Prince,4,8,Giant Snowball,9,13,Fisherman,1,5,Magic Archer,1,5,Poison,4,8,Battle Ram,7,11,Electro Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T183626.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,3,collection,#QPUCPVC8,şadov prov,6285,2,#890U2R0U,#TUR,16000030,Lava Hound,1,5,Fireball,7,11,Zap,9,13,Miner,1,5,Baby Dragon,4,8,Minions,9,13,Guards,4,8,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20C808YY,Davinchi⚡,4173,1,,,,Mega Knight,1,5,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,Bats,9,13,Hunter,4,8,Fireball,7,11,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T183303.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#QPUCPVC8,şadov prov,6285,2,#890U2R0U,#TUR,16000030,Lava Hound,1,5,Fireball,7,11,Zap,9,13,Miner,1,5,Baby Dragon,4,8,Minions,9,13,Guards,4,8,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PP9YPU2J,NWO I Kwaron,5584,1,#9U2G2C8L,New World Order,16000002,Bomb Tower,7,11,Skeleton Barrel,9,13,Rascals,9,13,Poison,4,8,Miner,1,5,Skeletons,9,13,Bats,9,13,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T182923.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#QPUCPVC8,şadov prov,6285,0,#890U2R0U,#TUR,16000030,Lava Hound,1,5,Fireball,7,11,Zap,9,13,Miner,1,5,Baby Dragon,4,8,Minions,9,13,Guards,4,8,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LYUJYY9V,BOTELHO,5371,1,#YULVRYYV,VILA DA FOLHA ☘,16000171,Lava Hound,1,5,Inferno Dragon,1,5,Fireball,7,11,Baby Dragon,4,8,Miner,1,5,Zap,9,13,Guards,4,8,Goblin Cage,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T182548.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,1,collection,#QPUCPVC8,şadov prov,6285,3,#890U2R0U,#TUR,16000030,Lava Hound,1,5,Fireball,7,11,Zap,9,13,Miner,1,5,Baby Dragon,4,8,Minions,9,13,Guards,4,8,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PGY8P9G,AKS I Ares,5618,0,#2RYG90QL,Tactical Tilt,16000096,Lumberjack,1,5,Barbarian Barrel,4,8,Tornado,4,8,Lightning,4,8,Night Witch,1,5,Golem,4,8,Baby Dragon,4,8,Mega Minion,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T182333.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,1,collection,#QPUCPVC8,şadov prov,6285,1,#890U2R0U,#TUR,16000030,Lava Hound,1,5,Fireball,7,11,Zap,9,13,Miner,1,5,Baby Dragon,4,8,Minions,9,13,Guards,4,8,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J8JUJUUP,Jemy™️,4901,3,#8VJQPUC2,Nova EG Draco,16000044,Ice Golem,7,11,Fireball,7,11,Magic Archer,1,5,Royal Hogs,7,11,Mini P.E.K.K.A,7,11,Bats,9,13,The Log,1,5,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T182119.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,0,collection,#QPUCPVC8,şadov prov,6285,2,#890U2R0U,#TUR,16000030,Lava Hound,1,5,Fireball,7,11,Zap,9,13,Miner,1,5,Baby Dragon,4,8,Minions,9,13,Guards,4,8,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22G29LC,uffie!,4350,1,#PRVP9PC,SG StanCe,16000162,Archers,9,13,Graveyard,1,5,Ice Golem,7,11,Mega Minion,7,11,Poison,4,8,Tesla,9,13,The Log,1,5,Bowler,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
