type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20191010T120425.000Z,,54000000,Training Camp,72000023,TeamVsTeamLadder,,collection,#QRPRRL9L,THE KILLER™,6258,0,#90CLL8UP,Supernova,16000028,Sparky,5,5,Royal Recruits,13,13,Fisherman,5,5,Musketeer,11,11,Ram Rider,5,5,Bats,13,13,Giant Snowball,13,13,Royal Ghost,5,5,#9CYGR8UP2,ReyEdu.,,0,#2QPJYGP,ESPAÑA ROYALE,16000172,Royal Giant,13,13,Valkyrie,11,11,Witch,8,8,Zap,13,13,Fireball,11,11,Hog Rider,11,11,Mini P.E.K.K.A,11,11,Ice Wizard,5,5,#Y99UU9RC,Dabingwori,4161,3,#8CYQGL8L,你瞅啥 你过来啊,16000002,Wizard,11,11,Arrows,13,13,Minion Horde,13,13,Witch,8,8,Rage,8,8,Giant,11,11,Mega Knight,5,5,Fireball,11,11,#8YVCQ902P,Rettnix,,3,#228QP09V,Chaos Club,16000032,Spear Goblins,12,13,Royal Giant,12,13,Rocket,9,11,Minion Horde,12,13,Barbarians,13,13,Rascals,13,13,Flying Machine,9,11,Princess,4,5
PvP,20191010T120158.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QRPRRL9L,THE KILLER™,6226,1,#90CLL8UP,Supernova,16000028,Golem,8,8,Baby Dragon,8,8,The Log,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Witch,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QQ92VGUL,TR⚡CARLOS⚡,6253,0,,,,Skeleton Army,8,8,Hog Rider,11,11,Zap,13,13,Electro Wizard,5,5,Sparky,5,5,Executioner,8,8,Mega Knight,5,5,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T115554.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#QRPRRL9L,THE KILLER™,6262,0,#90CLL8UP,Supernova,16000028,Golem,8,8,Baby Dragon,8,8,The Log,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Witch,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VCG2C0R,yyyy,6184,1,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T115012.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,1,collection,#QRPRRL9L,THE KILLER™,6262,1,#90CLL8UP,Supernova,16000028,Ice Golem,7,11,The Log,1,5,X-Bow,4,8,Ice Spirit,9,13,Skeletons,9,13,Tesla,9,13,Archers,9,13,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LR2UYUQ8,두산베어스,3654,0,#U909900,싱싱한 열무,16000126,Skeletons,8,13,Giant Snowball,7,13,Ice Golem,6,11,Musketeer,6,11,Inferno Tower,5,11,Barbarian Barrel,2,8,Miner,1,5,Balloon,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T205017.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,0,collection,#QRPRRL9L,THE KILLER™,6262,2,#90CLL8UP,Supernova,16000028,Ice Golem,7,11,The Log,1,5,X-Bow,4,8,Ice Spirit,9,13,Skeletons,9,13,Tesla,9,13,Archers,9,13,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y88GYPGLG,gladeador,1764,0,#2CC89R2J,los chaperones,16000178,Valkyrie,5,11,Goblin Barrel,3,8,Spear Goblins,8,13,Magic Archer,1,5,Golem,3,8,Baby Dragon,3,8,Rocket,5,11,Giant Skeleton,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191009T181111.000Z,,54000015,Master I,72000007,Friendly,,collection,#QRPRRL9L,THE KILLER™,6262,1,,,,Ice Golem,7,11,The Log,1,5,X-Bow,4,8,Ice Spirit,9,13,Skeletons,9,13,Tesla,9,13,Archers,9,13,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLLRQ0Y9,floky-جهاد✔,5238,0,#P22VP929,BS Esport Pro,16000106,Mega Knight,1,5,Bats,9,13,Fisherman,1,5,Miner,1,5,Zap,9,13,Wall Breakers,4,8,Witch,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191009T180602.000Z,,54000015,Master I,72000007,Friendly,,collection,#QRPRRL9L,THE KILLER™,6262,1,,,,Ice Golem,7,11,The Log,1,5,X-Bow,4,8,Ice Spirit,9,13,Skeletons,9,13,Tesla,9,13,Archers,9,13,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLLRQ0Y9,floky-جهاد✔,5238,0,#P22VP929,BS Esport Pro,16000106,Mega Knight,1,5,Bats,9,13,Fisherman,1,5,Miner,1,5,Zap,9,13,Wall Breakers,4,8,Witch,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T173317.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,7,collection,#QRPRRL9L,THE KILLER™,6262,1,,,,Wall Breakers,4,8,Inferno Tower,7,11,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCJCJJ29,AsianDomination,5395,3,#29YU089C,Twitch SirTagCR,16000142,Bats,9,13,Wall Breakers,4,8,Giant Snowball,9,13,Miner,1,5,Fisherman,1,5,Witch,4,8,Goblin Cage,7,11,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T172559.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,7,collection,#QRPRRL9L,THE KILLER™,6262,0,,,,Fireball,7,11,Tesla,9,13,Archers,9,13,Ice Golem,7,11,Ice Spirit,9,13,Skeletons,9,13,The Log,1,5,X-Bow,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88LJ0R980,⚡Sterling™⚡,5327,3,,,,Goblin Giant,4,8,Poison,4,8,Witch,4,8,Dark Prince,4,8,Baby Dragon,4,8,Giant Snowball,9,13,Fisherman,1,5,Mega Minion,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T172354.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,7,collection,#QRPRRL9L,THE KILLER™,6262,0,,,,Fireball,7,11,Tesla,9,13,Archers,9,13,Ice Golem,7,11,Ice Spirit,9,13,Skeletons,9,13,The Log,1,5,X-Bow,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YLL0Y0LY,1° Bandida,4693,1,#YY0RJG2,Tnc Royale,16000142,Zap,9,13,Ice Golem,7,11,Goblin Gang,9,13,Minion Horde,9,13,Battle Ram,7,11,Elixir Collector,7,11,Three Musketeers,7,11,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
