type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20191011T081629.000Z,,54000017,Master III,72000007,Friendly,,collection,#RCYRP8JP,V.A.L.E.R.A,6234,3,#9PU9892U,Lords of life,16000015,Lava Hound,1,5,Miner,1,5,Inferno Dragon,1,5,Baby Dragon,4,8,Barbarians,9,13,Tombstone,7,11,Poison,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#828UQUQ9C,mixa$,5650,2,#9PU9892U,Lords of life,16000015,The Log,1,5,Skeleton Army,4,8,Bandit,1,5,Miner,1,5,Fireball,7,11,Battle Ram,7,11,Inferno Tower,7,11,Minion Horde,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191011T080134.000Z,,54000009,Arena 8,72000023,TeamVsTeamLadder,,collection,#82VLUUGJP,杀戮者,5652,0,#9PU9892U,Lords of life,16000015,Bats,13,13,Balloon,8,8,Zap,13,13,Miner,5,5,Ice Golem,11,11,Mega Knight,5,5,Inferno Dragon,5,5,Goblin Gang,13,13,#RCYRP8JP,V.A.L.E.R.A,,0,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,#2Q9RQLG8G,Kerem_261006,4976,3,#JGPYQGV,Baba ve Oğul,16000030,Mega Knight,4,5,Elite Barbarians,13,13,Fireball,11,11,Minion Horde,13,13,Executioner,8,8,Valkyrie,11,11,Rage,7,8,Wizard,11,11,#88CUUCG2R,23Cyrus,,3,#292LUJYP,澳門甲組足球聯隊,16000113,Ice Golem,11,11,Furnace,10,11,Musketeer,11,11,Mega Minion,11,11,Barbarians,13,13,Poison,8,8,Graveyard,5,5,Barbarian Barrel,7,8
PvP,20191010T224642.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RCYRP8JP,V.A.L.E.R.A,6199,1,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RLRCG28,⚡FCB DAMN⚡,6266,0,#YVPQV8V,CSL1,16000142,Mega Knight,5,5,Balloon,8,8,Inferno Dragon,5,5,Witch,8,8,Fireball,11,11,Zap,13,13,Freeze,8,8,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T224108.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RCYRP8JP,V.A.L.E.R.A,6181,3,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CGLRRPYL,<c4>Chuky Kush♿,6047,0,,,,Mega Knight,5,5,Wall Breakers,8,8,Night Witch,5,5,Poison,8,8,Witch,8,8,Bandit,5,5,Miner,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T223704.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RCYRP8JP,V.A.L.E.R.A,6152,1,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PVPJUJL,FrAnCeSc0 SOPrA,6143,0,#2PQR0U,I MIRMIDONI,16000081,Skeletons,13,13,The Log,5,5,Zap,13,13,Barbarians,13,13,Fireball,11,11,Tesla,13,13,Archers,13,13,Royal Giant,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T223319.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RCYRP8JP,V.A.L.E.R.A,6187,0,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VC0JJ9,RHVR17,6124,1,#9R08LY28,SbY eSports,16000166,Princess,5,5,The Log,5,5,Rocket,11,11,Goblin Barrel,8,8,Inferno Tower,11,11,Knight,13,13,Goblin Gang,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T222834.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RCYRP8JP,V.A.L.E.R.A,6148,1,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8G2CJYQV,☆Mogun I Kwon☆,6256,0,#PGPV0GG,잎새,16000170,Wall Breakers,8,8,Inferno Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T222448.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RCYRP8JP,V.A.L.E.R.A,6170,0,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QQ92VGUL,TR⚡CARLOS⚡,6264,1,#L0288PU8,MLCT❤❤❤❤❤❤❤❤❤❤❤,16000086,Skeleton Army,8,8,Hog Rider,11,11,Zap,13,13,Electro Wizard,5,5,Sparky,5,5,Executioner,8,8,Mega Knight,5,5,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T220839.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RCYRP8JP,V.A.L.E.R.A,6148,1,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22Y9CGYGQ,Dark Light,6056,0,#2CQQVQCU,Nova l Hispania,16000044,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T220411.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RCYRP8JP,V.A.L.E.R.A,6125,1,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QYV2UPY9,Mr. Grayson,6049,0,#YVCCG0LQ,casa carut,16000081,Hog Rider,11,11,Ice Spirit,13,13,Tornado,7,8,The Log,5,5,Executioner,8,8,Valkyrie,11,11,Goblins,13,13,Rocket,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
