type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T135003.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6059,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Zap,13,13,Poison,8,8,P.E.K.K.A,8,8,Fisherman,5,5,Dark Prince,8,8,Electro Wizard,5,5,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#829QLUVVR,N3m3sis™,6024,0,#99LQJ8GY,QLASH Sentry3,16000020,Barbarians,13,13,Minions,13,13,Mini P.E.K.K.A,11,11,Princess,5,5,Hog Rider,11,11,Miner,5,5,Goblins,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T134421.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6089,0,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80GU08VC,den1s,6080,1,#P8QU2CCG,Дружина,16000056,P.E.K.K.A,8,8,Graveyard,5,5,Electro Wizard,5,5,Barbarian Barrel,8,8,Baby Dragon,8,8,Poison,8,8,Furnace,11,11,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T133954.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6117,0,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Zap,13,13,Poison,8,8,P.E.K.K.A,8,8,Fisherman,5,5,Dark Prince,8,8,Electro Wizard,5,5,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y82PU8V9,DEXTER,6134,1,#9LY8RVY0,DEXTER TEAM,16000107,Bandit,5,5,Lumberjack,5,5,Night Witch,5,5,Poison,8,8,Baby Dragon,8,8,Golem,8,8,Mega Minion,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T133409.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6155,0,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Valkyrie,11,11,Inferno Tower,11,11,Electro Wizard,5,5,Poison,8,8,Barbarian Barrel,8,8,Zap,13,13,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82VCPU8YC,#Eibraj_,6048,1,#PPJ8G2VQ,Albanian Crews,16000165,Rocket,11,11,The Log,4,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T132844.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6193,0,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Valkyrie,11,11,Inferno Tower,11,11,Electro Wizard,5,5,Poison,8,8,The Log,5,5,Zap,13,13,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22C2C89RJ,Mute > Henry,6094,1,#Y08G90PY,Sinister™️,16000138,Giant,11,11,Mega Minion,11,11,Barbarians,13,13,Poison,8,8,Witch,8,8,Giant Snowball,13,13,Bats,13,13,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T132043.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6166,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Valkyrie,11,11,Inferno Tower,11,11,Electro Wizard,5,5,Poison,8,8,The Log,5,5,Zap,13,13,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YQYPV0C,klose18,6141,0,#9LLL2URJ,Sandstorm EGY,16000097,Ice Golem,11,11,Barbarian Barrel,8,8,Giant Snowball,13,13,Ram Rider,5,5,Bandit,5,5,Inferno Dragon,5,5,Magic Archer,5,5,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T131402.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6189,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Valkyrie,11,11,Inferno Tower,11,11,Electro Wizard,5,5,Poison,8,8,The Log,5,5,Bats,13,13,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6267,2,#PJY098R9,YouTube: iAmJP,16000100,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T130413.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6166,3,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L8L8LC,NS丨Prince旭,6092,1,#YYL2GJUC,女神的世界,16000111,Lumberjack,5,5,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Elixir Collector,11,11,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T130051.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6197,0,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Zap,13,13,Poison,8,8,P.E.K.K.A,8,8,Fisherman,5,5,Dark Prince,8,8,Electro Wizard,5,5,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89CRJCGJ,Bomber BULLET,6185,1,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T125443.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6170,3,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Zap,13,13,Poison,8,8,P.E.K.K.A,8,8,Fisherman,5,5,Dark Prince,8,8,Electro Wizard,5,5,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JRQV929,W. Z. X.,6146,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T124910.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6151,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Zap,13,13,Poison,8,8,P.E.K.K.A,8,8,Fisherman,5,5,Dark Prince,8,8,Electro Wizard,5,5,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29QLCYGY0,$листо4ек$,6018,0,#89LYVPGJ,The Gods™,16000164,Goblin Barrel,8,8,Prince,8,8,Rocket,11,11,Rascals,13,13,Dart Goblin,11,11,Princess,5,5,The Log,5,5,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T124447.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6178,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92Y89CQ82,GIVENCHY,6202,3,#PGVJCRP9,Dragon X,16000093,Giant,11,11,Prince,8,8,Bats,13,13,Dark Prince,8,8,Goblin Gang,13,13,Spear Goblins,13,13,Zap,13,13,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T124055.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#RLJRYCV9,一线天,6202,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2VYVPPU,king night,6261,2,#L0CJV0JJ,•҉Thiℓdiภg͢͢∆™,16000029,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
