type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191008T143729.000Z,73002492,54000011,Arena 12,72000202,Event_ElixirGolemTease,1,pick,#UQ9RQYPY,Quietness,5364,3,#2CJG0RV9,Nova大唐 l 风神营,16000044,Elixir Golem,7,11,Executioner,4,8,Fisherman,1,5,Tornado,4,8,Poison,4,8,The Log,1,5,Bats,9,13,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JQ0P8QPV,rango,4677,1,#QJPG0CV,apocalipsis,16000029,Elixir Golem,7,11,Princess,1,5,Inferno Dragon,1,5,Skeletons,9,13,Minions,9,13,Mini P.E.K.K.A,7,11,The Log,1,5,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191008T143447.000Z,73002492,54000011,Arena 12,72000202,Event_ElixirGolemTease,0,pick,#UQ9RQYPY,Quietness,5364,3,#2CJG0RV9,Nova大唐 l 风神营,16000044,Elixir Golem,7,11,Executioner,4,8,Fisherman,1,5,Tornado,4,8,Poison,4,8,The Log,1,5,Bats,9,13,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CPRQG99J,パスティーノ中将,4896,0,#P20Q2PVQ,Knight Movement,16000152,Elixir Golem,7,11,Fisherman,1,5,The Log,1,5,Hog Rider,7,11,Ice Spirit,9,13,Skeletons,9,13,Fireball,7,11,Musketeer,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191008T143123.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,5,collection,#UQ9RQYPY,Quietness,5364,0,#2CJG0RV9,Nova大唐 l 风神营,16000044,Giant,7,11,Graveyard,1,5,Giant Snowball,9,13,Earthquake,7,11,Witch,4,8,Night Witch,1,5,Goblin Gang,9,13,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P99VJJ0VU,SILBER15,4608,3,#L2G0VC98,macacus Clan;),16000073,Electro Wizard,1,5,Lumberjack,1,5,Sparky,1,5,Mega Knight,1,5,Witch,3,8,Magic Archer,1,5,Executioner,4,8,Elite Barbarians,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191008T142948.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,4,collection,#UQ9RQYPY,Quietness,5364,1,#2CJG0RV9,Nova大唐 l 风神营,16000044,Giant,7,11,Graveyard,1,5,Giant Snowball,9,13,Earthquake,7,11,Witch,4,8,Night Witch,1,5,Goblin Gang,9,13,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8089GVYPY,wyldeyed,5023,0,#2G9L8VJ,clashopia,16000060,The Log,1,5,Fireball,7,11,Giant Skeleton,4,8,Miner,1,5,Musketeer,7,11,Mini P.E.K.K.A,7,11,Baby Dragon,4,8,Tornado,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191008T142633.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,3,collection,#UQ9RQYPY,Quietness,5364,3,#2CJG0RV9,Nova大唐 l 风神营,16000044,Giant,7,11,Graveyard,1,5,Giant Snowball,9,13,Earthquake,7,11,Witch,4,8,Night Witch,1,5,Goblin Gang,9,13,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#298LCJ8P,Josh,4683,0,#PG209QVL,The Dark Side,16000002,Baby Dragon,4,8,Royal Giant,9,13,Fisherman,1,5,Mega Minion,7,11,Furnace,7,11,Lightning,4,8,The Log,1,5,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191007T012331.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#UQ9RQYPY,Quietness,6695,2,#2CJG0RV9,Nova大唐 l 风神营,16000044,Bats,13,13,Executioner,8,8,Fireball,11,11,Miner,5,5,Mortar,13,13,Knight,13,13,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92RCUV8,CN.one Zeus,6720,0,#LUJQGJ,CN.one,16000000,Lava Hound,5,5,Bats,13,13,Baby Dragon,8,8,Flying Machine,11,11,Lumberjack,5,5,Skeleton Army,8,8,Zap,13,13,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191007T012020.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#UQ9RQYPY,Quietness,6662,1,#2CJG0RV9,Nova大唐 l 风神营,16000044,Bats,13,13,Executioner,8,8,Fireball,11,11,Miner,5,5,Mortar,13,13,Knight,13,13,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUVGRVPG,بو علي,6701,0,#8QJ990YQ,Q8,16000003,Witch,8,8,Barbarians,13,13,Giant,11,11,Wizard,11,11,Valkyrie,11,11,Graveyard,5,5,Arrows,13,13,Rocket,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191007T011709.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#UQ9RQYPY,Quietness,6693,0,#2CJG0RV9,Nova大唐 l 风神营,16000044,Bats,13,13,Executioner,8,8,Fireball,11,11,Miner,5,5,Mortar,13,13,Knight,13,13,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89CLU9L29,Diego,6672,1,#2P99P2P0,Royale Noob,16000044,Golem,8,8,Night Witch,5,5,Arrows,13,13,Lightning,8,8,Goblin Gang,13,13,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Baby Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191007T011359.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#UQ9RQYPY,Quietness,6664,1,#2CJG0RV9,Nova大唐 l 风神营,16000044,Bats,13,13,Executioner,8,8,Fireball,11,11,Miner,5,5,Mortar,13,13,Knight,13,13,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VGPC8JQ,ティミー,6662,0,#2GUUQ92J,トレジャーハンターegg,16000098,Ice Golem,11,11,Barbarian Barrel,8,8,Giant Snowball,13,13,Rascals,13,13,Bats,13,13,Miner,5,5,Balloon,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191007T011047.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#UQ9RQYPY,Quietness,6691,0,#2CJG0RV9,Nova大唐 l 风神营,16000044,Bats,13,13,Executioner,8,8,Fireball,11,11,Miner,5,5,Mortar,13,13,Knight,13,13,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80P2Q8VL2,Knockyououtfool,6718,3,,,,Miner,5,5,Giant,11,11,Musketeer,11,11,Lumberjack,5,5,Mega Minion,11,11,Minions,13,13,Fireball,11,11,Zap,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
