type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T140357.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6157,1,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QRPLQG,Chaos Ivar,6131,0,#CJ2PPUR,chaos,16000107,Golem,8,8,Witch,8,8,Night Witch,5,5,Lumberjack,5,5,Baby Dragon,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T120828.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6129,3,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPLL82LY,❤️Cr1stal❤️,6117,1,#2LVRQ29,Midwinter™,16000168,Rocket,11,11,The Log,5,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,P.E.K.K.A,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T120005.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6129,0,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q09URL8Y,やむし,6110,0,#892YVLC,最強JAPAN,16000054,Mega Knight,5,5,Royal Giant,13,13,Witch,8,8,Princess,5,5,Goblin Barrel,8,8,Valkyrie,11,11,Bats,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T115210.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6102,3,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29Y02RGJV,COP I bydlak,6072,0,#P0UQPU2G,Champions of PL,16000044,Lava Hound,5,5,Inferno Dragon,5,5,Balloon,8,8,Fireball,11,11,Miner,5,5,Baby Dragon,8,8,Guards,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114859.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6073,3,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P0QQ00J,FaceControl,6063,1,#9V8G0V9R,Боевая классика,16000015,Skeleton Army,8,8,The Log,5,5,Princess,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Goblin Barrel,8,8,Miner,5,5,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114317.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6108,0,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VJUL8RJ,Ad Dawarh,6042,1,#82UV9LV,Ad Vitam,16000040,Ice Golem,11,11,Three Musketeers,11,11,Barbarian Barrel,8,8,Lightning,8,8,Flying Machine,11,11,Battle Ram,11,11,Hunter,8,8,Bandit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T113821.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6082,1,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9UPQPRU,Gordi11,6043,0,#PPU92L99,Competo,16000000,Zap,13,13,Tornado,8,8,Executioner,8,8,Sparky,5,5,Giant,11,11,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Earthquake,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T113432.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6046,1,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YUL0C0GQ,Kamish❄️,6126,0,#20GG82V,your face,16000154,Ice Wizard,5,5,Tombstone,11,11,Zap,13,13,Poison,8,8,Tornado,7,8,Valkyrie,11,11,Executioner,8,8,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T113004.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6079,0,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VYJL0P2C,Eden I Forte,6039,1,#P8L20U2V,Second Eden,16000142,Golem,8,8,Night Witch,5,5,Baby Dragon,8,8,Mega Minion,11,11,Rocket,11,11,Guards,8,8,Fire Spirits,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T112642.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#UV0L0YU,elf,6111,0,,,,Miner,5,5,Valkyrie,11,11,Balloon,8,8,Executioner,8,8,Electro Wizard,5,5,Inferno Dragon,5,5,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8RQ9UGP,MA Lauti Durán,6083,1,#922PLLQR,Mafia Argenta™,16000043,Mortar,13,13,Minion Horde,13,13,Miner,5,5,The Log,4,5,Knight,13,13,Goblin Gang,13,13,Witch,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
