type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191010T071426.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,4,collection,#VC0JV20L,I’m Edwin :),6182,1,#YVPQV8V,CSL1,16000142,Wall Breakers,4,8,Hunter,4,8,Valkyrie,7,11,Skeletons,9,13,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VQV2GL2P,Lupin the Third,5429,2,#PPQVGVG2,山芋パンチ®︎,16000008,Baby Dragon,4,8,Poison,4,8,Goblin Cage,7,11,Giant Skeleton,4,8,Fisherman,1,5,Mega Minion,7,11,Graveyard,1,5,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T070936.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,3,collection,#VC0JV20L,I’m Edwin :),6182,1,#YVPQV8V,CSL1,16000142,Wall Breakers,4,8,Hunter,4,8,Valkyrie,7,11,Skeletons,9,13,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9VLVR28P,ラヴァクロ使い,4687,0,#LYQPQL,FAITH,16000001,Giant Snowball,9,13,Fisherman,1,5,Dark Prince,4,8,Baby Dragon,4,8,Electro Wizard,1,5,Ram Rider,1,5,Lightning,4,8,P.E.K.K.A,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T070608.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#VC0JV20L,I’m Edwin :),6182,1,#YVPQV8V,CSL1,16000142,Wall Breakers,4,8,Hunter,4,8,Valkyrie,7,11,Skeletons,9,13,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YU28C9GG,display,4615,0,#28RLJR8,TopTeam!,16000029,Hog Rider,7,11,Musketeer,7,11,Cannon,9,13,Ice Spirit,9,13,Ice Golem,7,11,Fireball,7,11,The Log,1,5,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T070240.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,1,collection,#VC0JV20L,I’m Edwin :),6182,1,#YVPQV8V,CSL1,16000142,Wall Breakers,4,8,Hunter,4,8,Valkyrie,7,11,Skeletons,9,13,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80UPVV0GQ,とみ沢すてっぷ伯爵70,5264,0,#8VUGQ9GC,PARVENIR,16000171,Wall Breakers,4,8,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Inferno Tower,7,11,The Log,1,5,Poison,4,8,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T065855.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,0,collection,#VC0JV20L,I’m Edwin :),6182,1,#YVPQV8V,CSL1,16000142,Wall Breakers,4,8,Hunter,4,8,Valkyrie,7,11,Skeletons,9,13,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82GY9GU2J,晨曦,4641,0,#P2UY2LVL,白银之手骑兵团,16000044,Witch,4,8,Magic Archer,1,5,Fisherman,1,5,Goblin Cage,7,11,Tornado,4,8,Giant Skeleton,4,8,Clone,4,8,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T065308.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,0,collection,#VC0JV20L,I’m Edwin :),6182,0,#YVPQV8V,CSL1,16000142,Wall Breakers,4,8,Hunter,4,8,Valkyrie,7,11,Skeletons,9,13,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YU0RLRVG,HADES VENUM,4685,3,#99RLP0UL,MercilessFights,16000012,Witch,4,8,Miner,1,5,Goblin Cage,7,11,Skeletons,9,13,Fisherman,1,5,Wall Breakers,4,8,Poison,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T063821.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VC0JV20L,I’m Edwin :),6150,2,#YVPQV8V,CSL1,16000142,Giant,11,11,Sparky,5,5,Zap,13,13,Dark Prince,8,8,Minions,13,13,Minion Horde,13,13,Elixir Collector,11,11,Bandit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GLRQ2999,<c6>SparkyGOD,6181,1,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T062940.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VC0JV20L,I’m Edwin :),6123,2,#YVPQV8V,CSL1,16000142,Giant,11,11,Sparky,5,5,Zap,13,13,Dark Prince,8,8,Minions,13,13,Minion Horde,13,13,Elixir Collector,11,11,Bandit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYPCQ8,Michifu☆,6090,1,#Y8LCJJQU,sa.arabic,16000139,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T062311.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VC0JV20L,I’m Edwin :),6098,3,#YVPQV8V,CSL1,16000142,Giant,11,11,Sparky,5,5,Zap,13,13,Dark Prince,8,8,Minions,13,13,Minion Horde,13,13,Elixir Collector,11,11,Bandit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6041,2,#PYP8UPJV,Tha Clique,16000107,Barbarians,13,13,Zap,13,13,Tombstone,11,11,Fireball,11,11,Balloon,8,8,Lava Hound,5,5,Mega Minion,11,11,Minions,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T061849.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VC0JV20L,I’m Edwin :),6125,0,#YVPQV8V,CSL1,16000142,Giant,11,11,Sparky,5,5,Zap,13,13,Dark Prince,8,8,Minions,13,13,Minion Horde,13,13,Elixir Collector,11,11,Bandit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VC0JJ9,RHVR17,6151,1,#9R08LY28,SbY eSports,16000166,Princess,5,5,The Log,5,5,Rocket,11,11,Goblin Barrel,8,8,Inferno Tower,11,11,Knight,13,13,Goblin Gang,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
