type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T135834.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VQJ9UUP,~Lorenzo~,6156,2,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VUR2Q88U,Марусик,6133,1,#2V0QU2QC,Parabellum,16000007,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T135453.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VQJ9UUP,~Lorenzo~,6181,1,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPUCPVC8,şadov prov,6230,2,#2022C0V8,BORDOBERELİLER,16000030,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T135109.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VQJ9UUP,~Lorenzo~,6208,1,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RLRCG28,⚡FCB DAMN⚡,6236,2,#YVPQV8V,CSL1,16000142,Mega Knight,5,5,Balloon,8,8,Inferno Dragon,5,5,Witch,8,8,Fireball,11,11,Zap,13,13,Freeze,8,8,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T130436.000Z,,54000017,Master III,72000007,Friendly,,collection,#VQJ9UUP,~Lorenzo~,6208,1,#8YVV9YUR,Veterans Élite™,16000036,Witch,4,8,Miner,1,5,Zap,9,13,Bats,9,13,Wall Breakers,4,8,Mega Knight,1,5,Poison,4,8,Dart Goblin,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JCCYJGV,IamAzrael™,5624,0,#8YVV9YUR,Veterans Élite™,16000036,Giant,7,11,The Log,1,5,Guards,4,8,Hunter,4,8,Zap,9,13,Mega Minion,7,11,Miner,1,5,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T125934.000Z,,54000016,Master II,72000066,Showdown_Ladder,,collection,#VQJ9UUP,~Lorenzo~,6208,1,#8YVV9YUR,Veterans Élite™,16000036,Giant,10,11,Hunter,8,8,Lightning,8,8,Ice Wizard,4,5,Guards,7,8,Witch,7,8,Ice Spirit,12,13,Dark Prince,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQPJ298L,dilann,5399,0,#8YVV9YUR,Veterans Élite™,16000036,Executioner,7,8,Royal Giant,12,13,Fireball,10,11,Ice Spirit,12,13,Dark Prince,6,8,Barbarians,12,13,Skeletons,11,13,Minions,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T122443.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VQJ9UUP,~Lorenzo~,6189,2,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PVPJUJL,FrAnCeSc0 SOPrA,6066,1,,,,Skeletons,13,13,The Log,5,5,Zap,13,13,Barbarians,13,13,Fireball,11,11,Tesla,13,13,Archers,13,13,Royal Giant,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarWarDay,20191010T121906.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#VQJ9UUP,~Lorenzo~,6189,3,#8YVV9YUR,Veterans Élite™,16000036,Giant,10,11,Hunter,8,8,Lightning,8,8,Ice Wizard,4,5,Guards,7,8,Witch,7,8,Ice Spirit,12,13,Dark Prince,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PP99Q2QQ,水野和哉,5154,0,#LGPGQP8,札幌フレンドバトルパーク,16000167,Golem,7,8,Barbarian Barrel,7,8,Arrows,12,13,Baby Dragon,7,8,Mega Minion,10,11,Witch,6,8,Fireball,10,11,Electro Dragon,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T121019.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VQJ9UUP,~Lorenzo~,6158,1,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2GYJCQG,Kot,6178,0,#PUUQ89J,Ленинка,16000122,Inferno Tower,11,11,Arrows,13,13,Royal Ghost,5,5,Goblin Barrel,8,8,Princess,5,5,Giant Skeleton,8,8,Skeleton Army,8,8,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T103915.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VQJ9UUP,~Lorenzo~,6125,1,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L0VP8R8V,⭐️星辰⭐️,6164,0,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T101550.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#VQJ9UUP,~Lorenzo~,6104,1,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28P2GQLY,Moge,6008,0,,,,Minions,13,13,Mini P.E.K.K.A,11,11,Zap,13,13,Fireball,11,11,Witch,8,8,Giant,11,11,Miner,5,5,Musketeer,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
