type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarCollectionDay,20191011T083812.000Z,,54000004,Arena 4,72000030,TeamVsTeamDraftChallenge,,draft,#Y0Q9Q0LR,♨️OLESYA♨️,,2,#Y99C9YU0,ENIGMA,16000004,Cannon Cart,4,8,Bomb Tower,7,11,Flying Machine,7,11,Valkyrie,7,11,Wall Breakers,4,8,Poison,4,8,Giant Snowball,9,13,Ice Spirit,9,13,#2P8YJRU0L,лёха,,2,#Y99C9YU0,ENIGMA,16000004,Earthquake,7,11,Lumberjack,1,5,Executioner,4,8,Goblin Giant,4,8,Spear Goblins,9,13,Goblin Barrel,4,8,Miner,1,5,Hog Rider,7,11,#8G8PPQPUQ,Aleyseb,,0,#2C2G2CP,Les spartiates,16000079,Ice Golem,7,11,Fireball,7,11,Rocket,7,11,Battle Ram,7,11,Royal Recruits,9,13,Princess,1,5,Goblin Cage,7,11,Goblin Gang,9,13,#2PJ2J9Y9R,tinttttin,,0,#2C2G2CP,Les spartiates,16000079,Royal Giant,9,13,Baby Dragon,4,8,Guards,4,8,Fire Spirits,9,13,Knight,9,13,Electro Dragon,4,8,Magic Archer,1,5,The Log,1,5
clanWarCollectionDay,20191011T083409.000Z,,54000005,Arena 5,72000088,TeamVsTeam_Rage_Ladder,,collection,#Y0Q9Q0LR,♨️OLESYA♨️,,3,#Y99C9YU0,ENIGMA,16000004,Golem,8,8,Baby Dragon,8,8,Electro Dragon,8,8,Inferno Dragon,5,5,Night Witch,5,5,Tornado,8,8,Zap,13,13,Royal Ghost,5,5,#2P8YJRU0L,лёха,,3,#Y99C9YU0,ENIGMA,16000004,Witch,7,8,Mirror,8,8,Balloon,8,8,Mega Knight,5,5,Arrows,13,13,Tornado,8,8,Valkyrie,11,11,Wizard,11,11,#GLPP0GVG,vanessa,,0,#8C2QLUJQ,Clan of War 104,16000024,Archers,13,13,Valkyrie,11,11,Minion Horde,13,13,Musketeer,11,11,Rage,8,8,Giant,11,11,Fireball,11,11,Wizard,11,11,#P0P0UCC0,DIABLO,,0,#8C2QLUJQ,Clan of War 104,16000024,Barbarians,13,13,Rage,8,8,Elite Barbarians,13,13,Princess,4,5,Fireball,11,11,Wizard,11,11,The Log,3,5,Minion Horde,13,13
clanWarCollectionDay,20191011T083134.000Z,,54000001,Arena 1,72000030,TeamVsTeamDraftChallenge,,draft,#2GL0GC2J,LandCruser1111,,2,#Y99C9YU0,ENIGMA,16000004,Royal Hogs,7,11,Rocket,7,11,Goblins,9,13,Mega Minion,7,11,Giant,7,11,Magic Archer,1,5,Fireball,7,11,Minion Horde,9,13,#Y0Q9Q0LR,♨️OLESYA♨️,,2,#Y99C9YU0,ENIGMA,16000004,Lava Hound,1,5,Skeleton Army,4,8,Lightning,4,8,Barbarian Hut,7,11,Electro Dragon,4,8,Wall Breakers,4,8,Tornado,4,8,Bandit,1,5,#PGL29RG0Y,kenneth wong,,1,#2RCJLCQC,新石天,16000146,Dart Goblin,7,11,Arrows,9,13,Fire Spirits,9,13,Royal Giant,9,13,Flying Machine,7,11,Ice Spirit,9,13,Earthquake,7,11,Battle Ram,7,11,#2809P0JCY,暗裡著迷,,1,#2RCJLCQC,新石天,16000146,Inferno Dragon,1,5,Poison,4,8,Skeleton Barrel,9,13,Electro Wizard,1,5,X-Bow,4,8,The Log,1,5,Ice Golem,7,11,Goblin Giant,4,8
clanWarWarDay,20191010T062514.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#Y0Q9Q0LR,♨️OLESYA♨️,6120,1,#Y99C9YU0,ENIGMA,16000004,Witch,7,8,Flying Machine,10,11,Balloon,7,8,Barbarian Barrel,7,8,Electro Dragon,7,8,Rascals,12,13,Royal Ghost,4,5,Dark Prince,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8099JV29,清清,5234,0,#VCVPJU,福州丫霸,16000014,Zap,12,13,Fireball,10,11,Mini P.E.K.K.A,10,11,Furnace,10,11,Royal Giant,12,13,Valkyrie,10,11,Bats,12,13,Musketeer,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191009T231712.000Z,,54000004,Arena 4,72000023,TeamVsTeamLadder,,collection,#QYU2PGVY,rafa,4960,0,#9V2GQUUY,TB’s Warriors™️,16000125,Poison,7,8,Mini P.E.K.K.A,11,11,Furnace,11,11,Mirror,8,8,Hog Rider,11,11,Zap,12,13,Electro Wizard,3,5,Goblin Gang,13,13,#Y0Q9Q0LR,♨️OLESYA♨️,,0,#Y99C9YU0,ENIGMA,16000004,Golem,8,8,Baby Dragon,8,8,Electro Dragon,8,8,Inferno Dragon,5,5,Night Witch,5,5,Tornado,8,8,Zap,13,13,Royal Ghost,5,5,#2J0QRCVJC,lotus,4694,3,#JQVLU2J,téméraires,16000029,Rocket,11,11,Furnace,11,11,Goblin Hut,11,11,Goblin Gang,13,13,The Log,4,5,Fireball,11,11,Poison,7,8,Zap,13,13,#9JR90UVV,marcelowiser,,3,#2Q0Y8V88,Nova eSports,16000008,Minion Horde,13,13,Minions,13,13,Hog Rider,11,11,Wizard,11,11,Giant Skeleton,8,8,Lumberjack,4,5,Electro Wizard,5,5,Elite Barbarians,13,13
PvP,20191009T231559.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#Y0Q9Q0LR,♨️OLESYA♨️,6083,1,#Y99C9YU0,ENIGMA,16000004,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Royal Ghost,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C2LJ2J0Y,⚜️KingAlex⚜️,6167,0,#9UJV0JGP,Mkers ITA,16000044,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T231221.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#Y0Q9Q0LR,♨️OLESYA♨️,6056,3,#Y99C9YU0,ENIGMA,16000004,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Royal Ghost,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8G2JCQ0Q2,Nakakata,6028,0,#PLGVJC8P,GLI SVINCOLATI,16000167,Electro Wizard,5,5,Musketeer,11,11,Giant Skeleton,8,8,Ice Spirit,13,13,Guards,8,8,Arrows,13,13,The Log,5,5,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T230942.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#Y0Q9Q0LR,♨️OLESYA♨️,6075,0,#Y99C9YU0,ENIGMA,16000004,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Royal Ghost,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R020P,FENOFINALFORM⚡☠,6201,1,#YPPJ0VJP,QLASH Restart,16000123,Royal Giant,13,13,Mega Minion,11,11,Zap,13,13,Sparky,5,5,Hog Rider,11,11,Arrows,13,13,Barbarians,13,13,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T230445.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#Y0Q9Q0LR,♨️OLESYA♨️,6044,3,#Y99C9YU0,ENIGMA,16000004,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Royal Ghost,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#820YC29J9,eklasaarni,6062,1,#P0GCV2PG,The Fallen Ones,16000043,Balloon,8,8,Valkyrie,11,11,Zap,13,13,Miner,5,5,Tornado,7,8,Executioner,8,8,Skeletons,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T230130.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#Y0Q9Q0LR,♨️OLESYA♨️,6080,0,#Y99C9YU0,ENIGMA,16000004,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Royal Ghost,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#809C0GC9,Shadoro,6005,1,#98J90LRP,TryElite,16000077,Dark Prince,8,8,Baby Dragon,8,8,Executioner,8,8,Goblin Cage,11,11,Lightning,8,8,Barbarian Barrel,8,8,Tornado,8,8,Golem,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
