type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarCollectionDay,20191010T033445.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#Y8YVUVL9,EvL✨Daniel™,6186,2,#92P0982J,MG Stars FLY,16000022,Graveyard,1,5,Cannon Cart,4,8,Ice Wizard,1,5,Baby Dragon,4,8,Goblin Cage,7,11,Barbarian Barrel,4,8,Tornado,4,8,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QR9Y9YQV,后天,5125,0,#9VUVJJ2J,Nova I 唯我独尊,16000044,Giant Skeleton,4,8,Balloon,4,8,Bats,9,13,Skeletons,9,13,Miner,1,5,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T011047.000Z,,54000016,Master II,72000007,Friendly,,collection,#Y8YVUVL9,EvL✨Daniel™,6186,3,#PR08088R,NSOQF,16000012,Lava Hound,1,5,Balloon,4,8,Flying Machine,7,11,Zap,9,13,Fireball,7,11,Valkyrie,7,11,Minions,9,13,Tombstone,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8J8R89Y,EvL Coca Light™,5349,0,#PR08088R,NSOQF,16000012,Bomb Tower,7,11,Fireball,7,11,Dart Goblin,7,11,Dark Prince,4,8,Princess,1,5,Goblin Barrel,4,8,The Log,1,5,Rascals,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T010704.000Z,,54000016,Master II,72000007,Friendly,,collection,#Y8YVUVL9,EvL✨Daniel™,6186,0,#PR08088R,NSOQF,16000012,Knight,9,13,The Log,1,5,Executioner,4,8,Skeletons,9,13,Tornado,4,8,Hog Rider,7,11,Ice Spirit,9,13,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8J8R89Y,EvL Coca Light™,5349,1,#PR08088R,NSOQF,16000012,Fisherman,1,5,Giant,7,11,Mega Minion,7,11,Miner,1,5,Poison,4,8,Skeletons,9,13,The Log,1,5,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T010203.000Z,,54000016,Master II,72000007,Friendly,,collection,#Y8YVUVL9,EvL✨Daniel™,6186,1,#PR08088R,NSOQF,16000012,Barbarian Barrel,4,8,Goblin Gang,9,13,Mortar,9,13,Rascals,9,13,Poison,4,8,Bats,9,13,Dart Goblin,7,11,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8J8R89Y,EvL Coca Light™,5349,0,#PR08088R,NSOQF,16000012,Wall Breakers,4,8,Valkyrie,7,11,Witch,4,8,Bats,9,13,Goblin Cage,7,11,The Log,1,5,Poison,4,8,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T005455.000Z,,54000018,Champion,72000007,Friendly,,collection,#Y8YVUVL9,EvL✨Daniel™,6186,1,#PR08088R,NSOQF,16000012,Barbarian Barrel,4,8,Goblin Gang,9,13,Mortar,9,13,Rascals,9,13,Poison,4,8,Bats,9,13,Dart Goblin,7,11,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8J8R89Y,EvL Coca Light™,5349,0,#PR08088R,NSOQF,16000012,Wall Breakers,4,8,Giant Snowball,9,13,Mega Knight,1,5,Dart Goblin,7,11,Bats,9,13,Miner,1,5,Fisherman,1,5,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T005053.000Z,,54000018,Champion,72000007,Friendly,,collection,#Y8YVUVL9,EvL✨Daniel™,6186,1,#PR08088R,NSOQF,16000012,Hog Rider,7,11,Ice Golem,7,11,Musketeer,7,11,Fireball,7,11,Ice Spirit,9,13,Skeletons,9,13,Cannon,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8J8R89Y,EvL Coca Light™,5349,0,#PR08088R,NSOQF,16000012,Inferno Tower,7,11,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Wall Breakers,4,8,The Log,1,5,Poison,4,8,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T004701.000Z,,54000018,Champion,72000007,Friendly,,collection,#Y8YVUVL9,EvL✨Daniel™,6186,0,#PR08088R,NSOQF,16000012,Hog Rider,7,11,Ice Golem,7,11,Musketeer,7,11,Fireball,7,11,Ice Spirit,9,13,Skeletons,9,13,Cannon,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8J8R89Y,EvL Coca Light™,5349,1,#PR08088R,NSOQF,16000012,Mega Knight,1,5,Bats,9,13,Fisherman,1,5,Miner,1,5,Zap,9,13,Wall Breakers,4,8,Hunter,4,8,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191010T003445.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#Y8YVUVL9,EvL✨Daniel™,6186,3,#92P0982J,MG Stars FLY,16000022,Giant Skeleton,4,8,Balloon,4,8,Bats,9,13,Skeletons,9,13,Miner,1,5,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCU80UU,nano,5229,0,#JY8LR02,colombia royal,16000025,Golem,4,8,Lumberjack,1,5,Night Witch,1,5,Baby Dragon,4,8,Mega Minion,7,11,Zap,9,13,Tornado,4,8,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191009T160834.000Z,,54000018,Champion,72000007,Friendly,,collection,#Y8YVUVL9,EvL✨Daniel™,6186,1,#92P0982J,MG Stars FLY,16000022,Fireball,7,11,Goblin Gang,9,13,Mortar,9,13,Rascals,9,13,Miner,1,5,Bats,9,13,The Log,1,5,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8J8R89Y,EvL Coca Light™,5310,0,,,,Bandit,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Lumberjack,1,5,Minions,9,13,Musketeer,7,11,Ram Rider,1,5,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191009T155229.000Z,,54000016,Master II,72000007,Friendly,,collection,#Y8YVUVL9,EvL✨Daniel™,6186,1,#92P0982J,MG Stars FLY,16000022,Fireball,7,11,Goblin Gang,9,13,Mortar,9,13,Rascals,9,13,Miner,1,5,Bats,9,13,The Log,1,5,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8J8R89Y,EvL Coca Light™,5310,0,,,,Giant,7,11,Witch,4,8,Mega Minion,7,11,Skeletons,9,13,Fisherman,1,5,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
