type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T044254.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YGGYQYV,JuicyJ,6222,2,#2LVRQ29,Midwinter™,16000168,Giant,11,11,Fisherman,5,5,Minions,13,13,Poison,8,8,Wall Breakers,8,8,Miner,5,5,Witch,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y2GPJQRR,kidkid,6117,1,,,,Inferno Tower,11,11,Rocket,11,11,Goblin Barrel,8,8,Goblin Gang,13,13,Ice Spirit,13,13,Knight,13,13,The Log,5,5,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T041112.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YGGYQYV,JuicyJ,6204,1,#2LVRQ29,Midwinter™,16000168,Giant,11,11,Fisherman,5,5,Minions,13,13,Poison,8,8,Wall Breakers,8,8,Miner,5,5,Witch,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PCY8PLQ8,じいや,6065,0,#992L9C02,Architects™️,16000106,Giant Skeleton,7,8,Bomber,13,13,Mega Minion,11,11,Baby Dragon,8,8,Zap,13,13,Tornado,8,8,Night Witch,5,5,Golem,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T023949.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YGGYQYV,JuicyJ,6176,1,#2LVRQ29,Midwinter™,16000168,Giant,11,11,Fisherman,5,5,Minions,13,13,Poison,8,8,Wall Breakers,8,8,Miner,5,5,Witch,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CL9QQJPR,Payes,6153,0,#99CL9UQG,GuateMagicSport,16000028,Giant,11,11,Fireball,11,11,Tornado,8,8,Executioner,8,8,Graveyard,5,5,Night Witch,5,5,Ice Wizard,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T023631.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YGGYQYV,JuicyJ,6206,1,#2LVRQ29,Midwinter™,16000168,Giant,11,11,Fisherman,5,5,Minions,13,13,Poison,8,8,Wall Breakers,8,8,Miner,5,5,Witch,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RLRCG28,⚡FCB DAMN⚡,6196,2,#YVPQV8V,CSL1,16000142,Mega Knight,5,5,Balloon,8,8,Inferno Dragon,5,5,Witch,8,8,Fireball,11,11,Zap,13,13,Freeze,8,8,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191011T022947.000Z,,54000012,Legendary Arena,72000007,Friendly,,collection,#YGGYQYV,JuicyJ,6206,0,#2LVRQ29,Midwinter™,16000168,Wall Breakers,4,8,Miner,1,5,Poison,4,8,Giant Snowball,9,13,Bats,9,13,Ice Golem,7,11,Fisherman,1,5,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20CCYL9,ThunderStruck,4000,3,,,,Goblin Barrel,4,8,Goblin Gang,9,13,Mega Knight,1,5,Miner,1,5,Bats,9,13,Princess,1,5,Wall Breakers,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191011T022514.000Z,,54000018,Champion,72000007,Friendly,,collection,#YGGYQYV,JuicyJ,6206,1,#2LVRQ29,Midwinter™,16000168,Giant Skeleton,4,8,Witch,4,8,Graveyard,1,5,Fisherman,1,5,Baby Dragon,4,8,Poison,4,8,Giant Snowball,9,13,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20CCYL9,ThunderStruck,4000,2,,,,Goblin Barrel,4,8,Goblin Gang,9,13,Mega Knight,1,5,Miner,1,5,Bats,9,13,Princess,1,5,Wall Breakers,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191011T022044.000Z,,54000018,Champion,72000007,Friendly,,collection,#YGGYQYV,JuicyJ,6206,1,#2LVRQ29,Midwinter™,16000168,Wall Breakers,4,8,Miner,1,5,Poison,4,8,Giant Snowball,9,13,Bats,9,13,Ice Golem,7,11,Fisherman,1,5,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20CCYL9,ThunderStruck,4000,2,,,,Goblin Barrel,4,8,Goblin Gang,9,13,Inferno Tower,7,11,Miner,1,5,Minion Horde,9,13,Princess,1,5,Wall Breakers,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T225104.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YGGYQYV,JuicyJ,6179,1,#2LVRQ29,Midwinter™,16000168,Wall Breakers,8,8,Miner,5,5,Poison,8,8,Giant Snowball,13,13,Bats,13,13,Ice Golem,11,11,Fisherman,5,5,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29Y02RGJV,COP I bydlak,6149,0,#P0UQPU2G,Champions of PL,16000044,Lava Hound,5,5,Inferno Dragon,5,5,Balloon,8,8,Fireball,11,11,Miner,5,5,Baby Dragon,8,8,Guards,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T224722.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YGGYQYV,JuicyJ,6151,1,#2LVRQ29,Midwinter™,16000168,Wall Breakers,8,8,Miner,5,5,Poison,8,8,Giant Snowball,13,13,Bats,13,13,Ice Golem,11,11,Fisherman,5,5,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22GU9QUCR,AlexPerez,6131,0,#9LL2C9CR,TEAM RUFFLES,16000163,Furnace,11,11,Hog Rider,11,11,The Log,5,5,Skeleton Army,8,8,Valkyrie,11,11,Witch,8,8,Rocket,11,11,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T223606.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YGGYQYV,JuicyJ,6167,0,#2LVRQ29,Midwinter™,16000168,Wall Breakers,8,8,Miner,5,5,Poison,8,8,Giant Snowball,13,13,Bats,13,13,Mega Knight,5,5,Fisherman,5,5,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2VYVPPU,king night,6329,1,#P22VP929,BS Esport Pro,16000106,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
