type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191009T204354.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6258,1,#9PJ82CRC,RoyaleAPI Alpha,16000005,Wall Breakers,8,8,Bomb Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PJ8YL8VY,DARIIUZ,6069,0,#YGVCCPUL,3Rules Gaming,16000020,Ice Spirit,13,13,Giant,11,11,Sparky,5,5,Spear Goblins,13,13,Fireball,11,11,Bats,13,13,Zap,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T203215.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6243,2,#9PJ82CRC,RoyaleAPI Alpha,16000005,Wall Breakers,8,8,Bomb Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28QJ8LPQ,Destroyer,6054,1,#9CRPCPV2,DirtyVibes,16000165,Baby Dragon,8,8,Golem,8,8,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,Lumberjack,5,5,Tornado,7,8,Electro Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T202357.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6215,2,#9PJ82CRC,RoyaleAPI Alpha,16000005,Wall Breakers,8,8,Bomb Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y82PU8V9,DEXTER,6195,1,#9LY8RVY0,DEXTER TEAM,16000107,Bandit,5,5,Lumberjack,5,5,Night Witch,5,5,Poison,8,8,Baby Dragon,8,8,Golem,8,8,Mega Minion,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T201335.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6190,2,#9PJ82CRC,RoyaleAPI Alpha,16000005,Wall Breakers,8,8,Bomb Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QLJU20J,CrossBow,6132,1,#9RCRYVRL,Трактарына,16000042,Fireball,11,11,Minion Horde,13,13,Bats,13,13,Sparky,5,5,Zap,13,13,Spear Goblins,13,13,Goblin Gang,13,13,Giant,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T200952.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6173,2,#9PJ82CRC,RoyaleAPI Alpha,16000005,Wall Breakers,8,8,Bomb Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PY929QJ2,$D.I.M.A.S$,6024,1,#8VVGRVJP,Банда Хомяка,16000008,Wall Breakers,8,8,Hunter,8,8,Mega Knight,5,5,Ice Spirit,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T200544.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6146,1,#9PJ82CRC,RoyaleAPI Alpha,16000005,Wall Breakers,8,8,Bomb Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QL9GGRL,ES I ✨Zaid✨,6119,0,#8PCCV9PQ,Sandstorm Arb,16000097,Fireball,11,11,Zap,13,13,Minion Horde,13,13,Minions,13,13,Miner,5,5,The Log,5,5,Witch,8,8,Giant,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T200130.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6125,1,#9PJ82CRC,RoyaleAPI Alpha,16000005,Wall Breakers,8,8,Bomb Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89Y8RVLY,娱乐至上,6026,0,#29YY8L89,娱乐至上,16000128,Bats,13,13,Executioner,8,8,Miner,5,5,Zap,13,13,Skeleton Barrel,13,13,Tornado,8,8,Dark Prince,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T195623.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6159,0,#9PJ82CRC,RoyaleAPI Alpha,16000005,The Log,5,5,Earthquake,11,11,Valkyrie,11,11,Hog Rider,11,11,Skeletons,13,13,Ice Spirit,13,13,Tornado,8,8,Executioner,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JRQV929,W. Z. X.,6112,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T195232.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6139,1,#9PJ82CRC,RoyaleAPI Alpha,16000005,The Log,5,5,Earthquake,11,11,Valkyrie,11,11,Hog Rider,11,11,Skeletons,13,13,Ice Spirit,13,13,Tornado,8,8,Executioner,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CYRLJQY,TRIPLE A,6029,0,#2GL2QPPL,MidwinterEX,16000168,Valkyrie,11,11,Tornado,8,8,Poison,8,8,Skeletons,13,13,Miner,5,5,Executioner,8,8,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T194715.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#YRGYRC,Royale Storm,6106,2,#9PJ82CRC,RoyaleAPI Alpha,16000005,The Log,5,5,Earthquake,11,11,Valkyrie,11,11,Hog Rider,11,11,Skeletons,13,13,Ice Spirit,13,13,Tornado,8,8,Executioner,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQJ9UUP,~Lorenzo~,6146,1,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
